indicator_id,url,title,publisher,published,brief,why_not
gov.standards--adoption-of-international-standards,https://www.capmad.com/post/smart-zambia-launches-the-20262030-znsdi-policy-and-a-national-geoportal-to-drive-dataled-development,SMART Zambia launches the 2026-2030 ZNSDI policy and a national geoportal,CapMAD,2026-06-22,progress,Origin-screen DROP: capmad.com is an AI-assembled rewrite (Madagascar-hosted pan-African business site); inadmissible-origin; the same event is captured instead via the KNOWN-origin spaceinafrica.com article
dpi.exchange--interoperability-of-social-protection-systems,https://documents1.worldbank.org/curated/en/310951656370740341/txt/Zambia-Scaling-Up-Shock-Responsive-Social-Protection-Project.txt,"Zambia Scaling Up Shock Responsive Social Protection Project (P179095), Project Appraisal Document",World Bank Group,2022-06-14,baseline,"Superseded as baseline pick by the shorter, more on-point 'Digitizing cash transfers to remote rural populations' policy note (Oct 2022), which documents ZISPIS's actual integration with nine PSPs and NRC-based beneficiary authentication; this PAD's captured excerpt (financing and country-context sections) did not reach the ZISPIS operational description before the fetch was truncated."
dpi.pay--p2p-p2g-and-p2b-functionality,https://www.boz.zm/National_Payment_Systems_Vision_Strategy_2023_2027.pdf,National Payment Systems - Vision and Strategy 2023 - 2027,Bank of Zambia,2023,baseline,"Fetch yielded only the cover page (570 characters); body substantively unavailable, so excluded in favour of a fuller dated baseline."
dpi.pay--p2p-p2g-and-p2b-functionality,https://www.boz.zm/s3-1-1-1.htm,Payment Systems Oversight,Bank of Zambia,,baseline,Undated overview page; cap keeps one baseline and the dated 2007 National Payment Systems Act page is stronger evidence of the founding instrument.
dpi.pay--p2p-p2g-and-p2b-functionality,https://www.boz.zm/overview-of-payment-systems-in-zambia.htm,Overview of payment systems in Zambia,Bank of Zambia,,baseline,"Undated overview page; thinner than the dated 2007 Act pick, excluded by the one-baseline cap."
capacity.training--dt-related-training-in-secondary-education,https://library.cdcrepository.info/view-general-file.php?id=1,2023 Zambia Education Curriculum Framework,Ministry of Education / Curriculum Development Centre,2023,baseline,"superseded as baseline by the operative subject syllabus itself (the framework is the policy anchor, not the training instrument)"
capacity.training--dt-related-training-in-secondary-education,https://www.edu.gov.zm/?p=6801,New Curricula to Be Implemented in a Phased Manner,Ministry of Education,2024-06-12,baseline,"a status statement about implementation, not the instrument itself; below cap of one baseline"
capacity.training--dt-related-training-in-secondary-education,https://www.exams-council.org.zm/wp-content/uploads/2024/05/2023-JUNIOR-SECONDARY-SCHOOL-EXAMINATION-REPORT.pdf,2023 Junior Secondary School Leaving Examinations Performance Report,Examinations Council of Zambia,2023,baseline,"supporting participation figures, not the training instrument itself; below cap of one baseline"
capacity.training--dt-related-training-in-secondary-education,https://www.exams-council.org.zm/grade-9/,Junior Secondary School Leaving,Examinations Council of Zambia,2026,baseline,"current-status notice about examination cessation, not the training instrument itself; below cap of one baseline"
capacity.training--dt-related-training-in-secondary-education,https://www.zanis.gov.zm/?p=3597,"2,500 Additional Schools to Be Connected to Reliable Internet",Zambia News and Information Services (ZANIS),2026-04-16,progress,connectivity/equipment infrastructure scale-up rather than a training event distinct from the two selected teacher-training/ICT-standards items; cap of two progress items reached
capacity.training--dt-related-university-facilities-and-qualifications,https://media.zambialii.org/media/legislation/45237/source_file/39dd27bd44f73b13/revised-national-qualifications-framework-nqf-2025.pdf,Revised National Qualifications Framework (NQF) 2025,Zambia Qualifications Authority / Government of Zambia,2025,baseline,"a subordinate framework document under the 2024 Act, which is the operative primary instrument selected as baseline"
capacity.training--dt-related-university-facilities-and-qualifications,https://hea.org.zm/digital-transformation-is-no-longer-optional-professor-chinsembu-tells-heis/,Digital Transformation Is No Longer Optional,Higher Education Authority,2026-07-17,baseline,"a current-position statement, not the founding instrument; below cap of one baseline"
capacity.training--dt-related-university-facilities-and-qualifications,https://www.zaqa.gov.zm/wp-content/uploads/2020/07/ZAMBIA-QUALIFICATIONS-FRAMEWORK-LEVEL-DESCRIPTORS-June-2016-v02.pdf,Zambia Qualifications Framework Level Descriptors,Zambia Qualifications Authority,2016-07-01,baseline,superseded technical descriptor document predating the 2024 Act; below cap of one baseline
capacity.training--dt-related-university-facilities-and-qualifications,https://engineering.unza.zm/natural-and-applied-sciences/computing-and-informatics,Department of Computing and Informatics,University of Zambia,1998,baseline,"an established facility, but the qualifications framework statute ranked higher as the single baseline pick; below cap of one baseline"
capacity.training--dt-related-university-facilities-and-qualifications,https://www.unza.zm/cict/about,About CICT,University of Zambia,undated,baseline,an established facility page with no clear publication date; below cap of one baseline
capacity.training--dt-related-university-facilities-and-qualifications,https://www.cbu.ac.zm/school/sict,School of Information Communication & Technology,Copperbelt University,undated,baseline,an established facility page with no clear publication date; below cap of one baseline
capacity.training--dt-related-university-facilities-and-qualifications,https://www.cbu.ac.zm/schoolsAndUnits/schoolofinformationandcommunicationtechnology/2021/04/06/information-technology-department/,Department of Information Technology,Copperbelt University,2021-04-06,baseline,an established qualification-granting department page; below cap of one baseline
capacity.training--dt-related-university-facilities-and-qualifications,https://www.zaqa.gov.zm/list-of-registered-accredited-qualifications/,List of Registered & Accredited Qualifications 2023,Zambia Qualifications Authority,2023-08-24,baseline,a verification register derived from the framework already selected; below cap of one baseline
capacity.training--dt-related-university-facilities-and-qualifications,https://hea.org.zm/wp-content/uploads/2024/02/The-State-of-Higher-Education-in-Zambia-Final.pdf,The State of Higher Education in Zambia 2022,Higher Education Authority,2023,baseline,"sector-level survey report, not the founding instrument; below cap of one baseline"
capacity.training--dt-related-university-facilities-and-qualifications,https://hea.org.zm/hea-opens-winter-school-to-put-quality-assurance-at-the-centre-of-ai-and-digital-transformation/,HEA Opens Winter School to Put Quality Assurance at the Centre of AI and Digital Transformation,Higher Education Authority,2026-07-15,progress,a capacity-building workshop for existing staff rather than a distinct facility or qualifications-system event beyond the two selected; cap of two progress items reached
include.access--citizen-feedback-portals,https://portal.citizensupport.gov.zm/,Citizen Support Services portal (live site),SMART Zambia Institute,,baseline,Live platform itself carries no publication date; the Cabinet Office launch statement is the stronger dated authoritative baseline
include.access--citizen-feedback-portals,https://www.szi.gov.zm/?p=2752,The Citizens Support Portal Developed,SMART Zambia Institute,2024-07-08,baseline,Superseded by the later formal Cabinet Office launch statement
include.access--citizen-feedback-portals,https://zambialii.org/akn/zm/act/2016/15/eng%402016-06-07,Public Protector Act 2016,National Assembly of Zambia,2016-06-07,baseline,"Not itself a digital feedback portal; a separate statutory grievance-redress mechanism, over cap"
include.access--citizen-feedback-portals,https://zambialii.org/akn/zm/act/si/2022/65/eng@2022-10-14/source,The Public Protector Rules 2022,Office of the Public Protector,2022-10-14,baseline,"Procedural rules for a separate grievance mechanism, over cap"
include.access--citizen-feedback-portals,https://www.oppz.gov.zm/,OPPZ - Zambia's Ombudsman Office,Office of the Public Protector,,baseline,"Separate statutory body, undated page, over cap"
include.access--citizen-feedback-portals,https://www.linkedin.com/posts/ministry-of-water-development-and-sanitation_enketo-express-for-kobotoolbox-activity-7483099527986655232-1q6P,Your Voice Matters - Help Us Improve Water Supply and Sanitation Services,Ministry of Water Development and Sanitation,2026-07-15,progress,"Sector-specific grievance portal, distinct from the Citizen Support Portal indicator; social-media post, over cap"
include.access--citizen-participation-in-policy,https://www.parliament.gov.zm/sites/default/files/documents/acts/The%20National%20Planning%20and%20Budgeting%2C%20No.%201%20of%202020_0.pdf,The National Planning and Budgeting Act 2020,Parliament of Zambia,2020-10-26,baseline,"Strong participatory-budgeting instrument but ranked below the constitutional baseline, over cap"
include.access--citizen-participation-in-policy,https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%2024%20of%202023%2C%20The%20Access%20to%20Information%20Act%2C%202023.pdf,Access to Information Act 2023,Parliament of Zambia,2023-12-22,baseline,"Transparency/disclosure obligation, not a general consultation procedure, over cap"
include.access--citizen-participation-in-policy,https://www.parliament.gov.zm/sites/default/files/documents/acts/The%20National%20Techincal%20Regulation%20Act%20No.%205%20of%202017.pdf,National Technical Regulation Act 2017,Parliament of Zambia,2017-04-12,baseline,"Sector-specific consultation mechanism, over cap"
include.access--citizen-participation-in-policy,https://www.constitution.gov.zm/files/REPORT-OF-THE-TECHNICAL-COMMITTEE-ON-THE-AMENDMENT-OF-THE-CONSTITUTION-OF-ZAMBIA.pdf,Report of the Technical Committee on Consulting and Drafting Amendments to the Constitution of Zambia,Technical Committee on Amendments to the Constitution,2025-11-25,baseline,"Ad hoc constitutional-review mechanism; superseded as baseline by the constitutional provisions, over cap"
include.access--citizen-participation-in-policy,"https://www.parliament.gov.zm/sites/default/files/documents/related_documents/National%20Dialogue%20(Constitutional,%20Electoral%20Procss).pdf",National Dialogue Act 2019,Parliament of Zambia,2019-04-18,baseline,"Statutory forum created for a specific reform process, not a standing participation mechanism, over cap"
include.access--citizen-participation-in-policy,https://www.szi.gov.zm/?p=2752,The Citizens Support Portal Developed,SMART Zambia Institute,2024-07-08,baseline,"Service-feedback platform, not a public-consultation/participatory-budgeting mechanism, over cap"
include.access--citizen-participation-in-policy,https://www.mofnp.gov.zm/?page_id=4888,Citizens Budget,Ministry of Finance and National Planning,2022-06-09,baseline,"Budget-transparency instrument, not direct citizen control over allocations, over cap"
include.access--citizen-participation-in-policy,https://www.zambiamonitor.com/govt-calls-for-public-input-on-2027-budget-urges-stronger-domestic-revenue-mobilisation/,Govt calls for public input on 2027 budget,Zambia Monitor,2026-05-07,progress,"Secondary report of a recurring budget-consultation channel; ranked below the two constitutional-process events, over cap"
include.access--gender-equity,https://www.gender.gov.zm/?p=6634,National Gender Policy 2023,Gender Division / Office of the President,2024-09-05,baseline,"Superseded as baseline by the more recent 2025 Gender Status Report, over cap"
include.access--gender-equity,https://zambia.un.org/en/278049-national-gender-policy-implementation-plan-2023-2028,National Gender Policy Implementation Plan 2023-2028,Government of Zambia / UN Resident Coordinator Office,2024-09-05,baseline,"Implementation plan, over cap"
include.access--gender-equity,https://zambialii.org/akn/zm/act/2015/22/eng@2015-12-24,Gender Equity and Equality Act No. 22 of 2015,Parliament of Zambia,2015-12-24,baseline,"Principal equality statute but older than the selected status report, over cap"
include.access--gender-equity,https://www.elections.org.zm/wp-content/uploads/FINAL-ERTC-REPORT_3rd-JUNE-2025.pdf,Report of the Electoral Reform Technical Committee 2025,Electoral Reform Technical Committee,2025-06-03,baseline,"Notes the Gender Equity and Equality Commission was not fully operationalised; secondary evidence, over cap"
include.access--gender-equity,https://www.gender.gov.zm/?page_id=1897,Gender Division mandate page,"Gender Division, Office of the President",,baseline,"Institutional mandate page, undated, over cap"
include.access--gender-equity,https://estatements.unmeetings.org/estatements/31.0070/20240313150000000/5dHxIpyFnLPD/VWJt7RQskDae_en.pdf,Statement by Zambia at CSW68,Government of Zambia,2024-03-13,baseline,"Government status statement, over cap"
include.access--gender-equity,https://documents1.worldbank.org/curated/en/099111025101519517/pdf/P181391-34653b79-f98e-4c0c-a842-18e4bab01cb6.pdf,GEWEL 2 Additional Financing Project Paper,World Bank Group,2025-11-10,progress,"Financing/project-paper commitment; ranked below the constitutional quota and non-bailable-offences reforms, over cap"
include.access--inclusion-of-persons-with-disabilities,https://www.parliament.gov.zm/node/3123,Persons with Disabilities Act No. 6 of 2012,Parliament of Zambia,2012-07-21,baseline,"Primary binding statute, but the 2025 Policy is the current status document selected as baseline, over cap"
include.access--inclusion-of-persons-with-disabilities,https://www.undp.org/zambia/publications/implementation-plan-2025-national-policy-persons-disabilities,Implementation Plan for the 2025 National Policy on Persons with Disabilities,Ministry of Community Development and Social Services,2025-05-28,baseline,"Implementation plan companion to the selected baseline policy, over cap"
include.access--inclusion-of-persons-with-disabilities,https://www.ilo.org/sites/default/files/2025-06/national_disability_mainstreaming_guidelines-final_copy.pdf,National Disability Mainstreaming Guidelines,Government of Zambia / ZAPD / UNDP,2025-05-28,baseline,"Practical mainstreaming framework companion document, over cap"
include.access--inclusion-of-persons-with-disabilities,https://zapd.org.zm/approval-of-national-policy-for-persons-with-disabilities-cheers-zapd/,Approval of National Policy for Persons with Disabilities Cheers ZAPD,ZAPD,2025-02-14,baseline,"Earlier announcement of Cabinet approval; superseded by the policy document itself, over cap"
include.access--inclusion-of-persons-with-disabilities,https://www.mcdss.gov.zm/?page_id=4126,ZAPD institutional mandate and services page,Ministry of Community Development and Social Services,,baseline,"Institutional page, undated, over cap"
include.access--inclusion-of-persons-with-disabilities,https://zapd.org.zm/update-on-the-development-of-the-national-accessibility-standards-and-guidelines/,Update on the Development of the National Accessibility Standards and Guidelines,ZAPD,,baseline,"Draft/in-development instrument, not yet finalised, over cap"
include.access--inclusion-of-persons-with-disabilities,https://www.parliament.gov.zm/node/13043,The Persons with Disabilities (Amendment) Bill 2026,National Assembly of Zambia,2026-04-16,progress,"Bill at first-reading stage, not yet enacted; ranked below the two selected items, over cap"
data.statistics--national-strategy-for-development-of-statistics,http://www.zamstats.gov.zm/wp-content/uploads/2023/12/The-Statistics-Act-2018.pdf,The Statistics Act 2018,Zambia Statistics Agency,2018-12-26,baseline,Founding law; selected instead as baseline for the separate administrative-data indicator to avoid duplicate baseline claim on one document
data.statistics--national-strategy-for-development-of-statistics,https://www.zamstats.gov.zm/wp-content/uploads/2024/07/The-Statistician-2024.pdf.pdf,The Statistician Eighth Volume 2024,Zambia Statistics Agency,2024-07-01,baseline,"Implementation status update, over cap"
data.statistics--national-strategy-for-development-of-statistics,https://www.zamstats.gov.zm/wp-content/uploads/2025/07/The-Statistician-June-2025.pdf,The Statistician Ninth Volume 2025,Zambia Statistics Agency,2025-07-01,baseline,"More recent status update but not the strategy document itself, over cap"
data.statistics--national-strategy-for-development-of-statistics,https://www.zamstats.gov.zm/nsds/,NSDS landing page,Zambia Statistics Agency,2023-12-12,baseline,"Institutional landing page linking to the primary NSDS2 PDF already selected, over cap"
data.statistics--national-strategy-for-development-of-statistics,https://www.zamstats.gov.zm/zambia-commemorates-african-statistics-day/,Zambia Commemorates African Statistics Day,Zambia Statistics Agency,2025-11-17,progress,"General policy-commitment event, ranked below the Data Science Hub and NIPN legacy events, over cap"
data.statistics--censuses-and-surveys,http://www.zamstats.gov.zm/wp-content/uploads/2023/12/The-Statistics-Act-2018.pdf,The Statistics Act 2018,Zambia Statistics Agency,2018-12-26,baseline,"Legal-framework document; the census report itself is the stronger baseline for this indicator, over cap"
data.statistics--censuses-and-surveys,https://www.zamstats.gov.zm/wp-content/uploads/2025/08/2022-Census-National-Analytical-Report.pdf,2022 Census National Analytical Report,Zambia Statistics Agency,2025-06-01,baseline,"Analytical follow-on to the selected Population Summary Report, over cap"
data.statistics--censuses-and-surveys,https://www.zamstats.gov.zm/wp-content/uploads/2025/11/2024-Labour-Force-Survey-Report.pdf,2024 Labour Force Survey Report,Zambia Statistics Agency / Ministry of Labour and Social Security,2025-08-06,baseline,"Regular annual survey report, ranked below the DHS and Integrated Agricultural Survey as progress, over cap"
data.statistics--censuses-and-surveys,https://www.zamstats.gov.zm/wp-content/uploads/2024/07/2022-LCMS-Report-2022.pdf,2022 Living Conditions Monitoring Survey Report,Zambia Statistics Agency,2024-06-01,baseline,"Latest LCMS round, but predates the selected 2022 census as baseline, over cap"
data.statistics--censuses-and-surveys,https://www.zamstats.gov.zm/wp-content/uploads/2024/11/2024-ZDHS-Key-Indicators-Report.pdf,Zambia Demographic and Health Survey 2024: Key Indicators Report,Zambia Statistics Agency / ICF,2024-11-01,baseline,"Preliminary release superseded by the final November 2025 ZDHS report selected as progress, over cap"
data.statistics--censuses-and-surveys,https://www.zamstats.gov.zm/census/,Census - Zambia Statistics Agency official programme page,Zambia Statistics Agency,2023-11-29,baseline,"Institutional catalogue page, over cap"
data.statistics--statistics-from-administrative-data,https://www.zamstats.gov.zm/wp-content/uploads/2023/12/SECOND-NATIONAL-STRATEGY-FOR-THE-DEVELOPMENT-OF-STATISTICS-2023-2027.pdf,Second National Strategy for the Development of Statistics 2023-2027,Zambia Statistics Agency,2023-07-01,baseline,"Selected instead as baseline for the separate NSDS indicator to avoid duplicate baseline claim, over cap"
data.statistics--statistics-from-administrative-data,https://www.policyvault.africa/wp-content/uploads/policy/ZMB493.pdf,National Monitoring and Evaluation Policy,Ministry of National Development Planning,2019-02-01,baseline,"Government-wide MIS policy, over cap"
data.statistics--statistics-from-administrative-data,https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%2041%20OF%202021%2C%20THE%20ELECTRONIC%20GOVERNMENT%20ACT%2C%202021_0.pdf,Electronic Government Act 2021,Parliament of Zambia,2021-05-20,baseline,"Cross-government digital-infrastructure law, not a statistical law, over cap"
data.statistics--statistics-from-administrative-data,https://www.parliament.gov.zm/sites/default/files/documents/acts/Births%20and%20Deaths%20Registration%20Act.pdf,Births and Deaths Registration Act Chapter 51,Government of Zambia,1973-03-23,baseline,"Founding CRVS registration law, but the Statistics Act better matches the indicator's administrative-data-for-statistics scope, over cap"
data.statistics--statistics-from-administrative-data,https://www.zamstats.gov.zm/wp-content/uploads/2023/12/2017-VITAL-STATISTICS-REPORT.pdf,2017 Vital Statistics Report,Department of National Registration Passport and Citizenship / Zambia Statistics Agency,2020-03-01,baseline,"Operational CRVS-to-statistics evidence, over cap"
data.statistics--statistics-from-administrative-data,https://www.zamstats.gov.zm/wp-content/uploads/2023/12/2016-VITAL-Statstics-Report.pdf,2016 Vital Statistics Report,Central Statistical Office / Department of National Registration Passport and Citizenship,2019-01-01,baseline,"Earlier vital statistics report, over cap"
data.statistics--statistics-from-administrative-data,https://znbc.co.zm/?p=10211,Over 1.3 Million Citizens Enrolled on INRIS,ZNBC,2025-12-28,progress,DUP-EXACT: already admitted to raw/ (raw/2025/2025-12-28 Over 1.3 Million Citizens Enrolled on INRIS.md) per raw-url-index.py; not staged
data.satellite--meteorological-use-of-satellite-data,https://zmd.gov.zm/organisation/about/,About - Zambia Meteorological Department,Zambia Meteorological Department,,baseline,"Institutional mandate page, undated, over cap"
data.satellite--meteorological-use-of-satellite-data,https://www.parliament.gov.zm/node/12604,Ministerial Statement: 2025/2026 Rainy Season Forecast,National Assembly of Zambia / Ministry of Green Economy and Environment,2025-10-02,baseline,"Government status statement, less technical detail than the CHD report, over cap"
data.satellite--meteorological-use-of-satellite-data,https://eprints.whiterose.ac.uk/id/eprint/213732/17/D4.1.1_WISER-EWSA_Testbed1_Submitted.pdf,WISER-EWSA Testbed 1 report,University of Leeds / WISER-EWSA partnership,2024-06-20,baseline,"Operational nowcasting exercise evidence, over cap"
data.satellite--meteorological-use-of-satellite-data,https://www.adaptation-undp.org/sites/default/files/resources/zambia_project_document.pdf,Strengthening Climate Information and Early Warning Systems - Zambia project document,Government of Zambia / UNDP,2013-09-01,baseline,"Historical capability-assessment baseline, superseded by the 2024 CHD report, over cap"
data.satellite--meteorological-use-of-satellite-data,https://cgspace.cgiar.org/server/api/core/bitstreams/00e5958b-eba6-4434-98b1-1364ebe69365/content,National Framework for Weather Water and Climate Services (NFWCS-ZM) Inception Report,Mamadi International Limited,2023-08-21,baseline,"Framework-development document, over cap"
data.satellite--meteorological-use-of-satellite-data,https://www-cdn.eumetsat.int/files/2020-04/pdf_conf_6auf_report_en.pdf,Report of the 6th EUMETSAT User Forum in Africa,EUMETSAT,2004-09-27,baseline,"Historical infrastructure-rollout context, over cap"
data.satellite--meteorological-use-of-satellite-data,https://zmd.gov.zm/satellite-images/,Satellite Images,Zambia Meteorological Department,,baseline,"Service page, undated, little technical detail, over cap"
data.satellite--meteorological-use-of-satellite-data,https://nrsc.org.zm/nrsc-and-sansa-sign-landmark-memorandum-of-understanding-to-advance-space-science-earth-observation-and-ground-station-operations-pretoria-south-africa-17-19-june-2026/,NRSC and SANSA Sign Landmark Memorandum of Understanding,National Remote Sensing Centre (NRSC) Zambia,2026-06-19,progress,"Broader Earth-observation/ground-station infrastructure MoU, less directly meteorological than the two selected items, over cap"
geopol.eu--eu-mous-engagements-and-commitments,https://ec.europa.eu/commission/presscorner/api/files/document/print/en/ip_23_5303/IP_23_5303_EN.pdf,Global Gateway: EU signs strategic partnerships and advances cooperation on the Lobito Corridor,European Commission,2023-10-26,baseline,"Multilateral instrument (EU, US, Italy, Angola, Zambia, DRC, AfDB, AFC), not a bilateral EU-Zambia MoU; over cap"
geopol.eu--eu-mous-engagements-and-commitments,https://climate.ec.europa.eu/news-other-reads/news/global-gateway-european-union-and-zambia-sign-roadmap-implementation-forest-partnership-2023-11-08_en,Roadmap for the Implementation of the EU-Zambia Forest Partnership,European Commission,2023-11-08,baseline,"Implementation roadmap for a separate strategic partnership, over cap"
geopol.eu--eu-mous-engagements-and-commitments,https://www.eeas.europa.eu/delegations/zambia/european-union-and-zambia-partnership-dialogue-marks-50-years-strong-and-committed-partnership_en,EU-Zambia Partnership Dialogue,EEAS,2025-04-16,baseline,"General status statement, superseded by the selected raw-materials MoU as baseline, over cap"
geopol.eu--eu-mous-engagements-and-commitments,https://www.mmmd.gov.zm/?p=3369,MoU between Zambia Ministry of Mines and Geological Survey of Finland,Zambia Ministry of Mines and Minerals Development,2024-09-16,baseline,"EU-member-state instrument, not an EU-level agreement, over cap"
geopol.eu--eu-mous-engagements-and-commitments,https://www.eeas.europa.eu/delegations/zambia/connecting-people-empowering-communities-zambia-tanzania-interconnector-launched-strengthen-regional_en,Zambia-Tanzania-Kenya Power Interconnector launch,EEAS,2025-04-11,baseline,"Infrastructure status statement where the EU is one of several financing partners, over cap"
geopol.eu--eu-mous-engagements-and-commitments,https://www.mots.gov.zm/?p=309,ZAMPOST-ASSECO Partnership Agreement,Zambia Ministry of Technology and Science,2022-05-18,baseline,"Public-enterprise-to-company arrangement with a Polish company, not a state-to-state EU agreement, over cap"
geopol.eu--eu-mous-engagements-and-commitments,https://international-partnerships.ec.europa.eu/policies/global-gateway/africa-europe-digital-regulators-partnership-sub-saharan-africa_en,Africa-Europe Digital Regulators Partnership in Sub-Saharan Africa,European Commission,,baseline,"Regional initiative, not a bilateral Zambia-EU MoU; undated, over cap"
geopol.eu--eu-mous-engagements-and-commitments,https://www.zanis.gov.zm/?p=3783,Germany Commits to Zambia's Water Security,Zambia News and Information Services (ZANIS),2026-04-23,progress,"EU-member-state (not EU-level) commitment, ranked below the two selected EU-level events, over cap"
geopol.gulf--gulf-mous-engagements-and-commitments,https://masdar.ae/en/news/newsroom/masdar-to-develop-5-gw-of-renewable-energy-projects,Masdar to Develop 5 GW of Renewable Energy Projects to Advance Africa's Clean Energy Objectives,Masdar / Abu Dhabi Future Energy Company,2023-01-20,baseline,"UAE renewable-energy agreement, ranked below the completed Mopani transaction as baseline, over cap"
geopol.gulf--gulf-mous-engagements-and-commitments,https://www.mmmd.gov.zm/?p=3792,Media Statement on the Performance of the Mining Sector in 2024,Zambia Ministry of Mines and Minerals Development,2025-01-22,baseline,"Confirms a Saudi minerals cooperation MoU; secondary confirmation, over cap"
geopol.gulf--gulf-mous-engagements-and-commitments,https://www.wam.ae/en/article/byswxz7-uae-zambia-explore-expanding-trade-relations,"UAE, Zambia explore expanding trade relations",Emirates News Agency (WAM),2026-02-18,baseline,"CEPA discussion, not a signed agreement, over cap"
geopol.gulf--gulf-mous-engagements-and-commitments,https://www.mewa.gov.sa/en/MediaCenter/News/Pages/engnews22241.aspx,Minister of MEWA Signs an MOU with the Zambian Minister of Agriculture,Saudi Ministry of Environment Water and Agriculture,2023-11-09,baseline,"Agricultural-technology MoU, outside the priority sectors and predates the window, over cap"
geopol.gulf--gulf-mous-engagements-and-commitments,https://mofa.gov.qa/en/qatar/latest-articles/latest-news/details/2025/04/17/minister-of-state-for-international-cooperation-meets-special-envoy-of-zambian-president,Minister of State for International Cooperation Meets Special Envoy of Zambian President,Qatar Ministry of Foreign Affairs,2025-04-17,baseline,"Diplomatic meeting, no signed instrument or named project, over cap"
geopol.gulf--gulf-mous-engagements-and-commitments,https://www.qatarfund.org.qa/project/new-qatar-creating-vision-eye-health-programme-launches-in-zambia/,New Qatar Creating Vision Eye Health Programme Launches in Zambia,Qatar Fund for Development,2023-07-05,baseline,"Health development programme, outside priority sectors and predates the window, over cap"
