recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
TZA,2024,2026,Gates Foundation,Digital Payments and Fintech,Grant,3,commitment,exact,Active,TIPS : Tanzania Instant Payment System Phase 3,"To advance the Tanzania Instant Payment System, a national-scale real-time retail payment clearing system, intended to lower the cost of digital financial services for marginalized and low-income populations.",Multilateral,Bank of Tanzania,,INV-043580,DAC-1601-INV-043580,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-043580,gates-foundation,2024-01-01-gates-tza-002-tips-tanzania-instant-payment-system-phase
TZA,2024,2034,InfraCo Africa,Connectivity,Equity,2,commitment,exact,Active,Mawingu 2.0 Tanzania Rural Broadband Expansion - InfraCo Africa,"InfraCo Africa invested USD 2 million to support Mawingu's expansion into Tanzania through the acquisition of Habari Node Ltd, a Tanzania-based ISP. As part of the Mawingu 2.0 initiative, the company raised USD 15 million total to acquire Habari and expand its East African network. This extends rural fixed wireless broadband access to Tanzania using solar-powered infrastructure.",Private sector,Mawingu Networks Ltd (Tanzania expansion,,,XM-DAC-47086-99DC5BEF-InfraCo Africa,https://pidg.org/mawingu-raises-15-million-to-acquire-habari-and-expand-its-network-in-east-africa/,infraco-africa,2024-01-01-infracoafrica-tza-mawingu-2-2024-mawingu-20-tanzania-rural-broadband-expansion
TZA,2024,,Norrsken22,Digital Payments and Fintech,Equity,8,commitment,estimated,Active,Norrsken22 investment in NALA $40M Series A \u2014 cross-border payments and remittances,"Norrsken22 participates in NALA's $40M Series A round, one of the largest Series A transactions in Africa. NALA (headquartered in Tanzania, UK-registered) provides remittance services from US, UK and EU to Africa and is building a B2B cross-border payments platform for African businesses. Round led by Acrew Capital, with Norrsken22, DST Global Partners, and HOF Capital. NALA serves Tanzania, Uganda, Nigeria, Ghana, Kenya, Rwanda and other SSA markets.",Private sector,NALA,,,,https://techcrunch.com/2024/07/09/nala-series-a/,norrsken22,2024-01-01-norrsken22-tza-nala-2024-norrsken22-investment-in-nala-40m-series
TZA,2023,2026,Gates Foundation,Digital Payments and Fintech,Grant,1,commitment,rounded,Active,Research: Financial & Digital Inclusion for Women Micro Merchants,"enhance women micro merchant’s digital and financial inclusion via access and usage of a range of services, including payments and credit solutions, contributing to merchant livelihood development",NGO/CS,TradeMark Africa Limited,,INV-056663,DAC-1601-INV-056663,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-056663,gates-foundation,2023-01-01-gates-tza-005-research-financial-digital-inclusion-for-women
TZA,2023,,Huawei,Connectivity,Buyer's credit,16,commitment,exact,Active,National ICT Broadband Backbone (NICTBB) Extension \u2014 23 Districts,,Government,Tanzania Telecommunications Corporation (TTCL),"TZS 37,300,000,000",,,https://english.news.cn/africa/20230419/3369e0b1f0e24ebb903c987db0fbbb2c/c.html,huawei,2023-01-01-huawei-tza-001-national-ict-broadband-backbone-nictbb-extension
TZA,2023,2026,KfW Development Bank,Innovation ecosystem,Grant,9,commitment,exact,Active,Traffic Management for Protected Areas through Digital Solutions Verkehrsmanagement f\u00fcr Schutzgebiete durch digitale L\u00f6sungen,"Tanzania hosts a wide diversity of terrestrial and marine ecosystems. 38% of Tanzanias total national territory is designated as protected areas. The Serengeti National Park (SNP) has an area of 14,763km² and is world famous for the seasonal migration of close to 2 million gnus, zebras and various antelope species between Tanzania and Kenya. The SNP recorded up to 500,000 visitors annually. After the pandemic-related decline in 2020 and 2021, a rebound is expected in 2022. The increasing number",Government,,"EUR 8,500,000",DE-1-201969039,DE-1-201969039,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DE-1-201969039,kfw,2023-01-01-kfw-tza-002-traffic-management-for-protected-areas-through
TZA,2022,,Axian Telecom,Connectivity,Equity,100,commitment,exact,Closed,Axian-Rostam Consortium Acquisition of Tigo Tanzania and Zantel from Millicom,"On 7 April 2022, a consortium led by Axian Telecom (together with Rostam Azizi) completed the acquisition of Millicom's entire Tanzanian telecom operations: MIC Tanzania Ltd (Tigo Tanzania) and Zanzibar Telecom (Zantel). The deal price was USD 100 million. The acquisition gave Axian strategic ownership in the EASSy cable landing station in Dar es Salaam, a consortium network of over 3,200 km backbone and 600 km metro fibre. The business was subsequently rebranded as Yas Tanzania. Axian announced a USD 500 million investment plan for Tanzanian network expansion over subsequent years.",Private sector,MIC Tanzania Ltd (Tigo Tanzania) / Zanzibar Telecom (Zantel),,,,https://www.connectingafrica.com/investment/millicom-exits-africa-with-tigo-tanzania-sale,axian-telecom,2022-01-01-axian-tza-tigo-acquisition-2022-axian-rostam-consortium-acquisition-of-tigo-tanzania
TZA,2022,2026,European Union,Access to services,Grant,2,commitment,rounded,Active,Tanzania Inclusive Digital Economy (TIDE),"The objective of the project is to engage and support the private sector, regulators and other development stakeholders to improve digital infrastructure, tools, policies and enable greater access to and usage of affordable, digitally-enabled services.",Private sector,,"EUR 1,485,000",,XI-IATI-EC_INTPA-2022-PC-16632,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2022-PC-16632,european-union,2022-01-01-ec-tza-004-tanzania-inclusive-digital-economy-tide
TZA,2022,2026,KfW Development Bank,Innovation ecosystem,Grant,8,commitment,exact,Active,Digitale L\u00f6sungen zur Erzielung von Allgemeiner Gesundheitsabsicherung Digital solutions to achieve general health protection,"Die tansanische Regierung plant, eine obligatorische Krankenversicherung für die gesamte Bevölkerung (ca. 56 Mio. Menschen) einzuführen. Die Systeme und Prozesse des nationalen Krankenversicherers NHIF sind derzeit auf die Verwaltung von rd. 3,6 Mio. Mitglieder ausgerichtet. Um einen derartigen Anstieg der Versichertenbasis zu stemmen, ist der Ausbau der IT-Struktur sowie die Harmonisierung entsprechender Organisationsabläufe notwendig. Dies ist besonders wichtig angesichts der Herausforderung,",Government,,"EUR 8,000,000",DE-1-201768134,DE-1-201768134,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DE-1-201768134,kfw,2022-01-01-kfw-tza-001-digitale-losungen-zur-erzielung-von-allgemeiner
TZA,2022,2027,Korea International Cooperation Agency,Literacy,Grant,10,commitment,rounded,Active,Project to Strengthen Science and ICT Education in Tanzania,"KOICA grant (~$10M, 2022) to raise standards of science and ICT education in Tanzania, boost participation especially among girls, and develop instructors' and students' digital skills. Provides ICT equipment and curriculum support to secondary schools.",Government,,,,,https://medhospafrica.com/2025/08/07/the-revolutionary-role-that-korea-has-played-in-improving-tanzanias-health-and-educational-systems/,koica,2022-01-01-koica-tza-science-ict-education-2022-project-to-strengthen-science-and-ict
TZA,2021,2026,World Bank,Connectivity,"Concessional loan *(source label, unverified — see Notes)*",150,commitment,exact,Active,Digital Tanzania Project,"Supports Tanzania's digital economy through improved broadband connectivity, digital government platforms, digital financial services, and digital skills programs.",Government,United Republic of Tanzania,,P160766,44000-P160766,https://projects.worldbank.org/en/projects-operations/project-detail/P160766,world-bank,2021-05-27-wb-tza-001-digital-tanzania-project
TZA,2021,2030,European Union,Connectivity,Grant,14,commitment,rounded,Active,Digital4Tanzania (D4T),"The action aims at increasing connectivity, strengthening good governance and reducing inequalities and unemployment in mainland Tanzania and Zanzibar",Government,,"EUR 11,550,000",2021000261,XI-IATI-EC_INTPA-2021-ACT-60933,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2021-ACT-60933,european-union,2021-01-01-ec-tza-002-digital4tanzania-d4t
TZA,2021,2026,European Union,"Strategies, plans and policies",Grant,13,commitment,exact,Active,"TZ Business Environment, Growth and Innovation: PE BEGIN","The objective of this programme is to support national efforts to improve the business environment, in line with Tanzanias Blueprint for Regulatory Reforms. It is centered on three main outputs, based on the Blueprint Action Plan: (i) Regulatory framework is improved; (ii) The assessment scheme for policy and regulatory reforms is improved; and (iii) Capacity of ICT infrastructure, including relat",Private sector,,"EUR 11,115,158",,XI-IATI-EC_INTPA-2021-PCC-430034,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2021-PCC-430034,european-union,2021-01-01-ec-tza-006-tz-business-environment-growth-and-innovation
TZA,2022,2028,Economic Development Cooperation Fund,Use of satellite data,Concessional loan,65,commitment,exact,Active,Tanzania Land Information Infrastructure Development Project (Digital Land System),"EDCF concessional loan ($65M, 2021/signed Oct 2022) to digitise Tanzania's land information system including alphanumeric parcel data, certificates of occupancy, and customary land rights. Implements digital cadastral maps for MLHHSD in Dar es Salaam and zonal offices.",Government,,,EDCF-TZA-LIS-2021,,https://koreajoongangdaily.joins.com/2022/10/27/business/finance/korea-eximbank-exportimport-bank/20221027174722172.html,korea-edcf,2021-01-01-edcf-tza-land-information-system-2021-tanzania-land-information-infrastructure-development-project
TZA,2022,2028,Economic Development Cooperation Fund,Digital Identity and CRVS,Concessional loan,70,commitment,exact,Active,Tanzania Resident Registration System Expansion Project,"EDCF concessional loan ($70M, 2021/signed Oct 2022) to expand Tanzania's resident registration system. Target: 88% citizen registration for resident permits. Digitises population registry and national ID enrolment processes.",Government,,,EDCF-TZA-RRS-2021,,https://koreajoongangdaily.joins.com/2022/10/27/business/finance/korea-eximbank-exportimport-bank/20221027174722172.html,korea-edcf,2021-01-01-edcf-tza-resident-registration-2021-tanzania-resident-registration-system-expansion-project
TZA,2021,2026,US Dept of Health and Human Services,Innovation ecosystem,Grant,7,commitment,rounded,Active,Tanzania Digital Health for PEPFAR: Strengthening Capacity (CDC/HHS-OGA),"PATH-implemented PEPFAR digital health cooperative agreement strengthening Government of Tanzania's capacity to develop, implement and use digital health information systems for HIV/TB epidemic control through interoperable information systems, governance, quality improvement and workforce support.",Government,,,NU2GGH002355,,https://www.highergov.com/grant/NU2GGH002355/,pepfar,2021-01-01-hhs-oga-tza-tanzania-digital-hea-2021-tanzania-digital-health-for-pepfar-strengthening
TZA,2022,2024,U.S. Department of State,Cybersecurity,Grant,2,commitment,exact,Closed,U.S. - Tanzania Cyber Partnership (5G/6G Frameworks and Cyber Security Capacity),"The Tanzania ICT partnership aligns with USG goals to strengthen international partnerships in improving digital connectivity, promoting stable and secure cyberspace, and upholding digital democracy and freedoms. Implemented by DAI, the program supports 5G/6G policy frameworks and cybersecurity capacity building for Tanzania.",Government,Government of Tanzania / Tanzania Communications Regulatory Authority (TCRA),,SAQMIP22CA0270,US-GOV-11-SAQMIP22CA0270,https://www.dai.com/our-work/projects/tanzania-ict-partnership-5g-slash-6g-frameworks-and-cyber-security-capacity,us-department-of-state,2021-01-01-state-tza-tanzania-cyber-partnership-2021-us---tanzania-cyber-partnership-5g6g
TZA,2021,2026,USAID,Innovation ecosystem,Grant,2,commitment,rounded,Active,Digital Square Tanzania PEPFAR Strengthening Capacity,"USAID and PEPFAR-funded Digital Square work with Ministry of Health Tanzania strengthening digital health system including DHIS2, FHIR-compliant data exchange, vaccine management digital systems, and health information system interoperability.",Government,,,,,https://www.usaid.gov/sites/default/files/2023-05/Digital%20Square%20-%20Connecting%20the%20World%20for%20Better%20Health%20Factsheet.%201.pdf,usaid,2021-01-01-usaid-tza-digital-square-tanza-2021-digital-square-tanzania-pepfar-strengthening-capacity
TZA,2018,,Gates Foundation,Digital Payments and Fintech,Grant,10,commitment,exact,Closed,Tanzania Instant Payment System (TIPS),"to support development of the Tanzania Instant Payment System, a national-scale real-time retail payment system open to all licensed payment service providers, to facilitate cross-system retail payment clearing and settling, operated on a c",NGO/CS,,,OPP1192631,DAC-1601-OPP1192631,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-OPP1192631,gates-foundation,2018-01-01-gates-tza-001-tanzania-instant-payment-system-tips
TZA,2017,2022,USAID,Innovation ecosystem,Grant,12,commitment,rounded,Closed,Health Information Systems - Tanzania,"USAID Tanzania Health Information Systems activity strengthening national health information infrastructure including DHIS2, facility management information systems, and health data use for decision-making.",Government,,,,US-GOV-1-AID-521-A-17-00008,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=US-GOV-1-AID-521-A-17-00008,usaid,2017-01-01-usaid-tza-health-information-s-2017-health-information-systems---tanzania
TZA,2015,2023,Global Affairs Canada,Digital Identity and CRVS,Grant,24,commitment,estimated,Closed,Scaling-Up Birth Registration Using Innovative Technology (Tanzania),"Registers and issues birth certificates to 7 million girls and boys under age 5 in Tanzania using innovative technology, including mobile data collection and digital registration systems to strengthen CRVS infrastructure.",Government,UNICEF Tanzania,"CAD 30,650,000",CA-3-D000402001,CA-3-D000402001,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=CA-3-D000402001,global-affairs-canada,2015-01-01-gac-tza-birth-reg-tech-2015-scaling-up-birth-registration-using-innovative-technology
TZA,2015,2015,ZTE,ICT Industry,Grant,4,commitment,exact,Closed,ZTE grants $3.5 million USD for the Safe Zanzibar Project,"In June 2015, ZTE corporation donated $3.5 million USD for the Safe Zanzibar Project which involves installing a CCTV surveillance system in Stone Town. The purpose of this project was to curb crime in Zanzibar, particularly in tourist areas.   According to the reporting from the Habarileo, the entire project was scheduled for completion by the end of 2015. Work plans included the installation of 300 full high definition cameras (FHD) on the main roads of the Stone Town and a command center in Malindi with a video wall and camera control center. The video surveillance system uses Geographic Information System (GIS), case library, and intelligent analysis tools. According to the engineer, with routine management, this system can facilitate sharing information among different administrative departments, utilizing security resources and improving efficiency  of controlling or responding rapidly to major accidents.",Government,Government of Tanzania,,aiddata-gcdf3-60196,,https://allafrica.com/stories/201506220404.html,zte,2015-01-01-zte-tza-001-zte-grants-35-million-usd-for
