indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.regional--regional-policy-collaboration,3,SWZ-gov.regional-sadc-ict-ministerial-participation,,,,,,,2026-07-31,0,Endorsed the draft SADC Digital Transformation Strategy at ministerial level,
gov.regional--regional-legal-harmonisation,3,SWZ-gov.regional-sadc,,,,,,,2026-07-31,0,SADC adequacy model carried in the Data Protection Act; Malabo not ratified,
gov.regional--shared-regional-infrastructure,3,SWZ-infra.connect-cross-border-backbone-route,,,,,,,2026-07-31,0,Cross-border route to Maputo in service; operational agreements and traffic not reported,
gov.regional--cross-border-data-transfers,3,SWZ-gov.regional-sadc,,,,,,,2026-07-31,0,Transfer provisions in force in the Act; no authority-issued mechanism on record,
gov.standards--national-interoperability-standards,,,,,,,,,2026-07-31,0,Only a sectoral health interoperability standard on record; no national standards catalogue,
gov.standards--national-quality-standards,2,SWZ-gov.standards-standards-and-quality-act|SWZ-gov.standards-national-standards-designations,,,,,,,2026-07-31,0,Standards authority designating non-ICT standards; domesticated ISO 9001 held under another indicator,
gov.standards--adoption-of-international-standards,2,SWZ-gov.standards-national-addressing-standards|SWZ-gov.standards-revenue-service-iso-9001-certification,,,,,,,2026-07-31,0,ISO 19160 and ISO 9001 domesticated; ISO membership status not on record,
gov.discourse--non-governmental-contribution-to-national-policy,2,SWZ-gov.discourse-national-data-policy-consultation,,,,,,,2026-07-31,0,Ad hoc consultation on the data policy; statutory cybersecurity advisory council not constituted,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,2026-07-31,0,Press debate of the Google memorandum on record; nothing on shutdowns or restrictions either way,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,SWZ-finance.budget-none,,,,,,,2026-07-31,0,ICT head appropriated in the 2026/27 estimates; no dedicated fund cited here,
finance.new--mobilisation-of-non-state-finance,1,,0,per cent of GDP,2026,outputs/non-state-finance/SWZ-nonstate.csv@2026-07-03,,,2026-07-31,0,no private digital commitment starting 2024–2026 on record,
infra.connect--mobile-penetration,4,,83.6,% of people 10+,2024,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-07-31,0,"on the compiler's modelled estimate (itu-sdg-5b1-mobile-ownership-10plus), no survey since 2019",
infra.connect--internet-usage,3,,63.4,% of population,2024,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-07-31,0,"on the compiler's modelled estimate (itu-sdg-17-8-1-internet-use), no survey since 2019",
infra.connect--mobile-affordability,2,,4.56,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-07-31,0,on published tariffs collected by itu-price-basket-5gb-gni,
infra.connect--national-fibre-backbone,3,SWZ-infra.connect-fibre,,,,,,,2026-07-31,0,Backbone in service carrying 72 Gbps international; regional reach and length not on record,
infra.connect--international-internet-bandwidth,3,SWZ-infra.connect-backbone-access-ruling|SWZ-infra.connect-cross-border-backbone-route,2,routes,2026,2026-06-01-esccom-notice-5-2026-eptc-jenny-decision,,,2026-07-31,0,Floor of two routes on separate sources; independence of routes not on record,
infra.connect--internet-exchange-points,2,SWZ-infra.connect-internet-exchange-point,,,,,,,2026-07-31,0,Launched 2014; no member count or traffic on record since,
infra.connect--satellite-broadband-licensing-and-availability,3,SWZ-data.satellite-reseller|SWZ-data.satellite-gateway,,,,,,,2026-07-31,0,Starlink service via one authorised reseller; blanket terminal licensing not on record,
infra.store--local-data-centre-capacity-all-providers,2,,0,facilities,2026,outputs/datasets/data-centres/data-centres.csv@2025-07-04,,,2026-07-31,0,0 of 2 multi-tenant facilities in service at Tier III or above,
infra.store--local-data-centre-capacity-national-providers,4,,100,per cent of facilities,2026,outputs/datasets/data-centres/data-centres.csv@2025-07-04,,,2026-07-31,0,2 of 2 multi-tenant facilities of known ownership nationally owned,
infra.store--off-site-backup-capacity,2,SWZ-infra.store-disaster-recovery-site,,,,,,,2026-07-31,0,Recovery site financed by 2021 loan and tendered; not built,
infra.energy--grid-reliability,4,,1.251,outages per month,2024,ref:enterprise-surveys-outages@2026-09-24,,,2026-07-31,0,on a survey figure via enterprise-surveys-outages,
infra.energy--rural-electrification,4,,88.3,% of rural population,2024,ref:wdi-elc-accs-rural@2026-07-13,,,2026-07-31,0,on a survey figure via wdi-elc-accs-rural,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,2026-07-31,0,End-of-life finance mainframe on record; its E35m replacement is held under another indicator,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,SWZ-capacity.training-changeagents,,,,,,,2026-07-31,0,Change-agent training for one programme; 18 ICT professionals support the assessed estate,
infra.cybersec--national-cybersecurity-readiness,2,SWZ-infra.cybersec-digital-forensic-unit|SWZ-infra.cybersec-month,,,,,,,2026-07-31,0,Police cyber unit operating; no national cybersecurity strategy or CERT on file,
dpi.exchange--national-data-exchange-system,2,SWZ-dpi.exchange-revenue-service-data-matching,,,,,,,2026-07-31,0,National platform only proposed; revenue-service database integration under way,
dpi.exchange--use-of-digital-id-in-other-systems,2,SWZ-dpi.id-ekyc,,,,,,,2026-07-31,0,Central bank e-KYC registry under construction; ID card not a digital identity,
dpi.exchange--interoperability-of-health-systems,2,SWZ-dpi.exchange-health-information-exchange,,,,,,,2026-07-31,0,"Exchanges live between clinical, HMIS and logistics systems; no national HIE policy or architecture on record",
dpi.exchange--interoperability-of-education-systems,2,SWZ-dpi.mis-school-education-management-information-system,,,,,,,2026-07-31,0,EMIS stated to allow linkage; no exchange in service on record,
dpi.exchange--interoperability-of-social-protection-systems,2,SWZ-dpi.registry-social-registry-imbeleko,,,,,,,2026-07-31,0,Social registry piloted in one region; no linkage in service on record,
dpi.id--robustness-of-system,3,SWZ-dpi.id-nationalid,,,,,,,2026-07-31,0,"Card issuance in service; no assurance level, audit or certification on record",
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,2026-07-31,0,"Home Affairs issues the card; platform origin, supplier contracts and funding model not on record",
dpi.id--authentication,2,SWZ-dpi.id-ekyc,,,,,,,2026-07-31,0,e-KYC verification registry under construction; no authentication service in operation,
dpi.id--digital-id-from-birth,3,SWZ-dpi.id-unique-identification-number-at-birth|SWZ-dpi.id-birth-registration-in-health-facilities,,,,,,,2026-07-31,0,Number issued at birth per regional scoping study; population register not shown digitised,
dpi.id--interoperability-of-birth-registration-and-digital-id,3,SWZ-dpi.id-unique-identification-number-at-birth,,,,,,,2026-07-31,0,Birth number links civil registration to the population register; two-way exchange not on record,
dpi.id--use-by-other-systems,2,SWZ-dpi.id-ekyc,,,,,,,2026-07-31,0,Adoption through the central bank e-KYC registry under construction,
dpi.pay--governance-role-of-central-bank,3,SWZ-gov.policy-central-bank-annual-integrated-reports|SWZ-dpi.pay-interbank-payment-and-settlement-system,,,,,,,2026-07-31,0,Central bank oversees settlement and the switch; consumer-protection function not on record,
dpi.pay--g2p-functionality,,,,,,,,,2026-07-31,0,Post-office rows are payments to government; no government-to-person digital payment on record,
dpi.pay--revenue-collection,3,SWZ-dpi.mis-customs-management-system,,,,,,,2026-07-31,0,Customs payments integrated electronically; electronic share of revenue not published,
dpi.pay--b2b-and-b2g-functionality,3,SWZ-dpi.pay-interbank-payment-and-settlement-system|SWZ-dpi.pay-switch,,,,,,,2026-07-31,0,Interbank and instant payments in service; no e-procurement on record,
dpi.pay--p2p-p2g-and-p2b-functionality,3,SWZ-dpi.pay-switch,,,,,,,2026-07-31,0,Bank and mobile-money interoperability live; merchant QR in development and agents not reported,
dpi.pay--population-uptake,3,,65.116,% of adults 15+,2024,ref:findex-account-ownership@2026-07-13,,,2026-07-31,0,on a survey figure via findex-account-ownership,
dpi.pay--cross-border-functionality,2,SWZ-dpi.pay-tcib,,,,,,,2026-07-31,0,Migration to the regional TCIB scheme under way; not a PAPSS participant,
dpi.pay--consumer-protection,,,,,,,,,2026-07-31,0,Only a parliamentary committee report on bank charges; no conduct rules on record,
dpi.registry--population-register,3,SWZ-dpi.registry-population,,,,,,,2026-07-31,0,Compulsory register in service since 1984; not shown digitised,
dpi.registry--civil-register,,,,,,,,,2026-07-31,0,CRVS improvement programme running; no digital civil registration system on record,
dpi.registry--address-register,2,SWZ-gov.standards-national-addressing-standards,,,,,,,2026-07-31,0,Addressing standards launched July 2026 with municipal pilots,
dpi.registry--business-register,3,SWZ-dpi.govtech-company-registration-online,,,,,,,2026-07-31,0,Company registration through the government portal; unique identifier and public search not on record,
dpi.registry--social-protection-register,2,SWZ-dpi.registry-social-registry-imbeleko,,,,,,,2026-07-31,0,Piloted in Shiselweni as at July; no household count,
dpi.registry--electoral-register,2,SWZ-dpi.registry-voter-register,,,,,,,2026-07-31,0,Continuous registration adding biometrics; public access to the roll not on record,
dpi.registry--tax-register,,,,,,,,,2026-07-31,0,"TIN application is on paper; register structure not on record, and online filing implies a computerised one",
dpi.registry--land-register,2,SWZ-dpi.registry-deeds-registry-digitisation,,,,,,,2026-07-31,0,Deeds system prototype under testing; no go-live,
dpi.mis--health,3,SWZ-dpi.mis-client-management-information-system,,,,,,,2026-07-31,0,Electronic record at 73% of facilities; surveillance and registry integration not on record here,
dpi.mis--education,3,SWZ-dpi.mis-school-education-management-information-system,,,,,,,2026-07-31,0,Individual PIN-keyed records held; use for planning and payroll not on record,
dpi.mis--social-protection,2,SWZ-dpi.registry-social-registry-imbeleko,,,,,,,2026-07-31,0,Registry piloted; no programme MIS in service on record,
dpi.mis--justice,2,SWZ-dpi.mis-integrated-electronic-case-management,,,,,,,2026-07-31,0,Case management rollout under way; courts not yet transitioned,
dpi.mis--tax,3,SWZ-dpi.mis-mandatory-online-tax-filing,,,,,,,2026-07-31,0,Online filing mandatory for income tax only; uptake across core taxes not published,
dpi.mis--customs,3,SWZ-dpi.mis-customs-management-system,,,,,,,2026-07-31,0,ASYCUDAWorld in service with e-payment; single window not in service,
dpi.mis--land,2,SWZ-dpi.registry-deeds-registry-digitisation,,,,,,,2026-07-31,0,Deeds information system at prototype stage,
dpi.govtech--e-government-services,3,SWZ-infra.cybersec-govservices|SWZ-dpi.govtech-giyh|SWZ-dpi.govtech-taxpal,,,,,,,2026-07-31,0,31 of 419 services online; no shared authentication through a national ID,
digital.localgov--ict-infrastructure-for-local-government,2,SWZ-digital.localgov-tinkhundla,,,,,,,2026-07-31,0,38 centres in the financed connectivity target; none reported connected,
digital.localgov--digitalisation-of-local-government-records,,,,,,,,,2026-07-31,0,"Ministry report, held truncated, mentions no digital records system; not a stated absence",
digital.rural--digitalisation-of-rural-health-clinics,3,SWZ-digital.rural-community-health-information-system|SWZ-dpi.mis-health-information-system-optimisation,,,,,,,2026-07-31,0,Community health capture digital; facility coverage share not published here,
digital.rural--digitalisation-of-rural-primary-schools,3,SWZ-digital.rural-school-connectivity-programme|SWZ-capacity.training-school-ict-equipment,,,,,,,2026-07-31,0,402 of 965 mapped schools connected; most primary schools still unconnected,
digital.rural--digitalisation-of-rural-registry-offices,,,,,,,,,2026-07-31,0,Only planned USSD access here; point-of-birth registration held under the ID indicators,
digital.rural--digitalisation-of-rural-police-stations,2,SWZ-dpi.mis-integrated-electronic-case-management|SWZ-dpi.mis-justice-system-equipment-support,,,,,,,2026-07-31,0,Justice case system for police use under rollout; no station named,
tech.ai--use-of-ai-in-sectoral-management-information-systems,,,,,,,,,2026-07-31,0,Sector platforms in service not shown to use AI,
tech.ai--development-of-national-regional-ai-systems,,,,,,,,,2026-07-31,0,Only an AI indaba and a continental memorandum with no national commitment,
tech.ai--control-of-ai-abuse,2,SWZ-tech.ai-deepfake,,,,,,,2026-07-31,0,Regulator's deepfake guidance has no legal force,
tech.industry--national-capacity-in-dt-related-production,3,,0.1232,% of GDP,2024,ref:wdi-ict-service-exports-gdp@2026-07-13,,,2026-07-31,0,on official statistics via wdi-ict-service-exports-gdp,
tech.innovate--technology-hubs,3,SWZ-tech.innovate-science-park-business-incubator,,,,,,,2026-07-31,0,Science park incubator running a programme; cohort and output figures not held,
tech.innovate--tech-startup-ecosystem,,,,,,,,,2026-07-31,0,Only a FinTech strategy and a digital bank licence; no startup instrument on record,
capacity.training--dt-related-training-in-secondary-education,2,,22.561,% of secondary schools,2023,ref:uis-4a1-secondary-internet@2026-02-09,,,2026-07-31,0,on the country's reported figure via uis-4a1-secondary-internet,
capacity.training--graduates-entering-dt-ecosystem,4,,1.557,% of employment,2023,ref:ilostat-isic-j-employment@2026-09-23,,,2026-07-31,0,on a survey figure via ilostat-isic-j-employment,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,3,SWZ-capacity.research-none,,,,,,,2026-07-31,0,University computing department with research groups and grant activity; no policy role on record,
include.access--citizen-feedback-portals,2,SWZ-include.access-public-entity-feedback-platform|SWZ-include.access-project-grievance-mechanism,,,,,,,2026-07-31,0,One entity's feedback platform; no cases or handling on record,
include.access--citizen-participation-in-policy,2,SWZ-gov.discourse-national-data-policy-consultation|SWZ-include.access-budget-consultations,,,,,,,2026-07-31,0,One digital instrument consulted in the year; no stated procedure,
include.access--inclusion-of-persons-with-disabilities,3,SWZ-include.access-persons-with-disabilities-act,,,,,,,2026-07-31,0,Act gives a right of ICT access; no digital accessibility standard on record,
include.access--inclusion-of-refugees-and-idps,3,SWZ-include.access-refugee-documentation,,,,,,,2026-07-31,0,Refugees documented and in civil registration; digital service access not provided for on record,
data.statistics--national-strategy-for-development-of-statistics,2,SWZ-data.statistics-national-strategy-for-development-of-statistics,,,,,,,2026-07-31,0,"Recorded as Designing by the international partnership, January 2026",
data.statistics--censuses-and-surveys,3,SWZ-data.statistics-finscope,,,,,,,2026-07-31,0,"Irregular survey rounds (2018, 2026); current-round census not enumerated",
data.statistics--statistics-from-administrative-data,3,SWZ-dpi.registry-crvs-completeness,,,,,,,2026-07-31,0,Vital statistics report compiled from civil registration,
data.open--use-of-open-data,1,SWZ-data.open-none,,,,,,,2026-07-31,0,Readiness assessment records no centralised open-data portal,
data.satellite--agricultural-use-of-satellite-data,3,SWZ-data.satellite-composite-drought-index,,,,,,,2026-07-31,0,National satellite drought index in the crop assessment; no published schedule,
data.satellite--meteorological-use-of-satellite-data,,,,,,,,,2026-07-31,0,Weather stations and forecasting upgrades on record; no satellite data stream stated,
