indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.standards--adoption-of-international-standards,3,ZWE-gov.standards-standards-catalogue|ZWE-gov.standards-iso-27001-certification-scheme-accreditation,,,,,,,"ISO/IEC security and cloud standards adopted as ZWS; ISO membership class and conformance mandate not on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,2,ZWE-gov.discourse-public-consultation-record-ai-strategy,,,,,,,"Ad hoc validation workshops for the AI strategy; no standing mechanism or published responses",0,
gov.discourse--open-discussion-of-government-policy,2,ZWE-infra.cybersec-cyber-security-monitoring-interception-communications,,,,,,,"Interception centre without judicial oversight and a false-data offence on record",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,ZWE-finance.budget-digital-information-technology-appropriation-2026,,,,,,,"ICT development programme appropriated in the 2026 Act; no dedicated fund on these rows",0,
infra.connect--national-fibre-backbone,3,ZWE-infra.connect-fibre-backbone-length|ZWE-infra.connect-cross-border-fibre-corridor-zambia,,,,,,,"14357 km on the regulator's figure; provincial reach and open-access terms not on record",0,
infra.connect--internet-exchange-points,3,ZWE-infra.capacity-internet-exchange-point,,,,,,,"Harare IXP with all access providers connected as at 2020; no traffic figure held",0,
infra.connect--satellite-broadband-licensing-and-availability,3,ZWE-infra.connect-starlink-satellite-service|ZWE-infra.connect-satellite-operator-s-licence-terms,,,,,,,"One operator licensed and in service; each distributing agent cleared individually",0,
infra.store--off-site-backup-capacity,2,ZWE-infra.store-disaster-recovery-site|ZWE-infra.store-egp-disaster-recovery-sites,,,,,,,"DR site planned in budget paper; procurement system DR sites tendered with no award held",0,
infra.capacity--robustness-of-government-hardware-and-software,2,ZWE-dpi.exchange-tax-and-revenue-management-system|ZWE-dpi.govtech-public-finance-management-system,,,,,,,"Finance and revenue systems in service and being upgraded; custodian and platform support not on record",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,3,ZWE-infra.capacity-government-internet-service-provider,,,,,,,"Government ISP hosts and maintains systems in-house; no systematic capacity programme on record",0,
infra.cybersec--national-cybersecurity-readiness,2,ZWE-infra.cybersec-cybersecurity-strategy|ZWE-infra.cybersec-computer-incident-response-team,,,,,,,"Strategy still being finalised; CIRT project with no completion recorded; authority only proposed",0,
dpi.exchange--national-data-exchange-system,,,,,,,,,"Unplaced: ERP launch and procurement specifications only; no exchange platform procured or piloted on these rows",0,
dpi.exchange--use-of-digital-id-in-other-systems,2,ZWE-dpi.exchange-mobile-money-civil-registry-validation,,,,,,,"Mobile money validation against the registry directed; completion reported only after the as-at",0,
dpi.exchange--interoperability-of-health-systems,2,ZWE-dpi.exchange-health-information-exchange,,,,,,,"Exchange under development; FHIR guide a v0.1.0 draft",0,
dpi.exchange--interoperability-of-education-systems,2,ZWE-dpi.mis-school-registration-information-management-system,,,,,,,"Link to EMIS in a consultancy advertised April 2026; no award held",0,
dpi.exchange--interoperability-of-social-protection-systems,2,ZWE-dpi.registry-social-registry,,,,,,,"Registry integration with civil registry budgeted in a proposed phase; no exchange in service",0,
dpi.id--robustness-of-system,,,,,,,,,"Unplaced: rows show only a planned digital ID and registry modernisation; ID issuance on record under registration rows",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"Unplaced: registry operates e-passport and computerised offices; platform origin contracts and funding not on record",0,
dpi.id--authentication,,,,,,,,,"Unplaced: no authentication e-signature or PKI service on these rows",0,
dpi.id--digital-id-from-birth,,,,,,,,,"Unplaced: birth registration 57% on DHS; no number assigned at birth on record",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,ZWE-dpi.exchange-crvs-health-interoperability-platform,,,,,,,"Notification exchange synchronising with the population register being implemented; pilot due 2027",0,
dpi.id--use-by-other-systems,,,,,,,,,"Unplaced: farmer registries not shown keyed on the national ID; voters' roll transfer sits elsewhere",0,
dpi.pay--governance-role-of-central-bank,3,ZWE-dpi.pay-central-bank-payment-systems-report|ZWE-dpi.pay-central-bank-digital-transformation-financial,,,,,,,"Oversight with published quarterly statistics; consumer-protection or dispute function not on these rows",0,
dpi.pay--g2p-functionality,3,ZWE-dpi.pay-pension-payment-to-mobile-money-wallets,,,,,,,"Pensions payable to mobile wallets; no beneficiary counts; payroll system launch not confirmed",0,
dpi.pay--revenue-collection,3,ZWE-dpi.pay-radio-frequency-toll-tag-express|ZWE-dpi.registry-taxpayer-registration-self-service-portal,,,,,,,"Electronic tolling and tax portal in service; share collected electronically not published",0,
dpi.pay--b2b-and-b2g-functionality,,,,,,,,,"Unplaced: only a digital capital-market venue; e-procurement evidence sits under e-government services",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,ZWE-dpi.pay-instant-payment-interchange|ZWE-dpi.pay-mobile-wallet-cash-out-at,,,,,,,"Bank-wallet instant interchange in service; merchant QR still rolling out and agent networks not reported",0,
dpi.pay--cross-border-functionality,2,ZWE-dpi.pay-pan-african-payment-settlement-system,,,,,,,"PAPSS participation company-reported; central bank enrolment and volumes not on record",0,
dpi.pay--consumer-protection,2,ZWE-dpi.pay-bank-charge-caps,,,,,,,"Central bank charge caps by directive; no conduct rules or redress body on record",0,
dpi.registry--population-register,3,ZWE-gov.legislate-national-registration-act|ZWE-dpi.id-population-registry-system-modernisation,,,,,,,"Register of residents under the Act, modernisation under way; vital-event updating not on record",0,
dpi.registry--civil-register,3,ZWE-dpi.registry-civil-registration-office-computerisation|ZWE-dpi.registry-vital-statistics-report,,,,,,,"Provincial and district offices computerised; under a tenth of sub-offices; birth registration below target",0,
dpi.registry--address-register,,,,,,,,,"Unplaced: addressing named in policy only; no policy adopted or project under way and no cited absence",0,
dpi.registry--business-register,2,ZWE-dpi.registry-business-re-registration|ZWE-gov.legislate-companies-and-other-business-entities-act,,,,,,,"Historic stock being re-registered onto the electronic registry; online filing and identifier not on record",0,
dpi.registry--social-protection-register,2,ZWE-dpi.registry-social-registry,,,,,,,"Being populated in three districts; about 2 per cent of population targeted",0,
dpi.registry--electoral-register,,,,,,,,,"Unplaced: rows cover only the transfer of the roll to the registrar-general; no digital register evidence",0,
dpi.registry--tax-register,2,ZWE-dpi.registry-taxpayer-registration-self-service-portal|ZWE-dpi.registry-tax-register-master-data-update,,,,,,,"Computerised register; integrity not assessed; no TADAT assessment on record",0,
dpi.registry--land-register,3,ZWE-dpi.registry-digital-land-administration-platform|ZWE-dpi.registry-statutory-instrument-76-2025-securitised,,,,,,,"E-cadastre portal live; deeds validation runs to 2027; no parcel count published",0,
dpi.mis--health,3,ZWE-dpi.mis-health-management-information-system,,,,,,,"EMR at 1254 of 1900 facilities alongside DHIS2 on a financing partner's figures; completeness not published",0,
dpi.mis--education,3,ZWE-dpi.mis-education-management-information-system,,,,,,,"EMIS in service with learner early-warning; unique IDs and payroll use not on record",0,
dpi.mis--social-protection,,,,,,,,,"Unplaced: only the social registry is mapped here; no programme MIS on record",0,
dpi.mis--justice,3,ZWE-dpi.mis-integrated-electronic-case-management-system,,,,,,,"Superior courts paperless and magistrates' courts rolling out; decisions online not on record",0,
dpi.mis--tax,2,ZWE-dpi.exchange-tax-and-revenue-management-system,,,,,,,"VAT e-filing and fiscal devices on these rows; e-payment coverage not shown",0,
dpi.mis--customs,,,,,,,,,"Unplaced: only the immigration border management system is mapped; no customs system evidence",0,
dpi.mis--land,3,ZWE-dpi.registry-digital-land-administration-platform,,,,,,,"Cadastre portal in service; valuation and tax linkage not on record",0,
dpi.govtech--e-government-services,2,ZWE-dpi.govtech-electronic-government-procurement,,,,,,,"E-procurement the only transactional service on these rows; no gateway or service inventory",0,
digital.localgov--ict-infrastructure-for-local-government,3,ZWE-digital.localgov-local-authority-enterprise-resource-planning,,,,,,,"ERP fully used in 22 of 92 authorities on the minister's account; no national connectivity programme",0,
digital.localgov--digitalisation-of-local-government-records,3,ZWE-digital.localgov-local-authority-electronic-services-revenue,,,,,,,"One council's revenue roll on ERP; not shown representative",0,
digital.rural--digitalisation-of-rural-health-clinics,2,ZWE-include.access-satellite-connectivity-at-rural-health,,,,,,,"Satellite kits delivered to 400 facilities and not activated; EMR coverage sits under health MIS",0,
digital.rural--digitalisation-of-rural-registry-offices,3,ZWE-dpi.registry-civil-registration-office-computerisation,,,,,,,"All district offices computerised; about 20 of 209 sub-offices; central flow not on record",0,
digital.rural--digitalisation-of-rural-police-stations,,,,,,,,,"Unplaced: ICT directorate and an announced e-docket plan; no station system built or piloted",0,
tech.ai--use-of-ai-in-government-administration,,,,,,,,,"Unplaced: only a parliamentary motion and a challenge; AI in e-procurement sits under e-government services",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,,,,,,,,,"Unplaced: only a private operator's tower monitoring tool in development",0,
tech.ai--development-of-national-regional-ai-systems,2,ZWE-tech.ai-indigenous-language-corpora-programme,,,,,,,"National language corpora committed without funding; HPC centre in service sits under national-provider data centres",0,
tech.ai--control-of-ai-abuse,,,,,,,,,"Unplaced: only a traffic management system is mapped; no rule or authority on AI harms",0,
tech.innovate--technology-hubs,3,ZWE-tech.innovate-university-industrial-incubation-centre,,,,,,,"University incubator with 11 start-ups in Harare; no park with tenants on record",0,
tech.innovate--tech-startup-ecosystem,,,,,,,,,"Unplaced: central bank sandbox operating and an AI fund announced; no startup law strategy or open grant scheme",0,
capacity.literacy--digital-literacy-general-population,2,ZWE-capacity.literacy-digital-literacy-programme-or-measured,43.7,per cent,2025,2026-07-17-ai-gains-ground-zimbabweans-digital-learning,,,"2025 household ICT survey; age base not stated in the held account",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,,,,,,,,,"Unplaced: research council held with no digital-transformation programme or activity on record",0,
include.access--citizen-feedback-portals,,,,,,,,,"Unplaced: rows are access schemes; the citizen scoring platform sits under citizen participation",0,
include.access--citizen-participation-in-policy,2,ZWE-gov.discourse-public-consultation-record-ai-strategy,,,,,,,"One consultation within the year on the AI strategy; no stated procedure or second instrument",0,
include.access--inclusion-of-persons-with-disabilities,2,ZWE-gov.legislate-persons-with-disabilities-act,,,,,,,"2025 Act with ICT accessibility passed but commencement not fixed",0,
include.access--inclusion-of-refugees-and-idps,2,ZWE-include.access-refugee-digital-education-programme,,,,,,,"Refugee digital education in four schools; registration and documentation not on record",0,
data.statistics--national-strategy-for-development-of-statistics,2,ZWE-data.statistics-national-strategy-for-development-of-statistics,,,,,,,"Third strategy expired 2025; fourth in preparation",0,
data.statistics--censuses-and-surveys,3,ZWE-data.statistics-ict-access-by-households-use,,,,,,,"2025 household ICT survey published; census round not on these rows",0,
data.statistics--statistics-from-administrative-data,3,ZWE-data.statistics-national-accounts-rebasing,,,,,,,"GDP compiled partly from administrative sources; no systematic programme or quality framework",0,
data.open--use-of-open-data,2,ZWE-data.statistics-open-data-portal,,,,,,,"Portal publishing; no open licence or reuse on record",0,
data.satellite--agricultural-use-of-satellite-data,3,ZWE-data.satellite-earth-observation-for-agricultural-statistics,,,,,,,"Crop mapping and drought monitoring with the ministry; outputs on a schedule not on record",0,
data.satellite--meteorological-use-of-satellite-data,,,,,,,,,"Unplaced: only the geospatial agency's establishment; no meteorological service data on record",0,
