indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.legislate--statistics-legislation,3,BEN-data.statistics-loi-2022-07,,,,,,,"Loi 2022-07 in force; Charter principles not shown in the rows",0,
gov.legislate--access-to-information-legislation,,,,,,,,,"unplaced: media code in force but no access-to-information provision shown on the row",0,
gov.protect--data-protection-authority,3,BEN-gov.protect-apdp|BEN-gov.protect-electoral-enforcement,,,,,,,"operating with control missions and litigation; statutory independence and budget funding not on these rows",0,
gov.protect--national-data-protection-readiness,3,BEN-gov.protect-apdp,,,,,,,"law in force and authority operating; Guidelines practices such as impact assessments or breach notification not on record",0,
gov.regional--regional-policy-collaboration,3,BEN-gov.regional-cotonou-declaration|BEN-gov.protect-conventions|BEN-dpi.id-50in5,,,,,,,"hosted the Cotonou Declaration and signed DPA conventions; no regional guidelines implemented domestically on record",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"unplaced: only a UEMOA land directive draft; nothing in the cyberlaw set",0,
gov.regional--shared-regional-infrastructure,3,BEN-infra.connect-roaming|BEN-dpi.id-afis,,,,,,,"ECOWAS roaming and SIPAO link in service; no usage or traffic reported",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"unplaced: only a cross-border ID pilot; no transfer rules on these rows",0,
gov.standards--national-interoperability-standards,3,BEN-dpi.exchange-framework,,,,,,,"framework with named standards in force; no custodian constituted or conformance testing on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"unplaced: ISO membership recorded only after the as-at; no adoption of international ICT standards on listed sources",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"unplaced: only a reference internet-freedom ranking; no shutdown record or free-discussion evidence on the rows",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,BEN-finance.budget-programme-111,,,,,,,"Programme 111 Numérique in the appropriation with execution published; no dedicated fund or levy on record",0,
finance.new--mobilisation-of-non-state-finance,4,BEN-finance.new-private-digital-investment,,,,,,,"Corpus figure 0.29% of GDP; no domestic financier on record so stage 5 condition unmet",0,
infra.connect--national-fibre-backbone,3,BEN-infra.connect-fibre,,,,,,,"more than 3000 km in service; regional reach, open access and cross-border link not on record",0,
infra.connect--internet-exchange-points,3,BEN-infra.connect-beninix,,,,,,,"operating per the ISOC tracker; no traffic or membership figure and redynamisation study on record",0,
infra.connect--satellite-broadband-licensing-and-availability,3,BEN-infra.connect-non-terrestrial-networks,,,,,,,"ARCEP decision 2024-108 licensing regime with service in use; no blanket licensing on record",0,
infra.store--off-site-backup-capacity,2,BEN-infra.store-off-site-backup,,,,,,,"provided for in the WARDIP2 appraisal; no operating off-site backup",0,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,"unplaced: vulnerability report only; core systems' platforms and custodian not described",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,3,BEN-infra.capacity-prscg-capacity-building,,,,,,,"ministerial IT staff trained to run the network and data centre; no systematic programme across bodies",0,
infra.cybersec--national-cybersecurity-readiness,4,BEN-infra.cybersec-strategy|BEN-infra.cybersec-vulnerability-report|BEN-infra.cybersec-interpol|BEN-infra.cybersec-pssie-decret,,,,,,,"strategy, CSIRT, critical-infrastructure policy and published report; Malabo ratification not on record",0,
dpi.exchange--national-data-exchange-system,4,BEN-dpi.exchange-uxp|BEN-dpi.exchange-access-rules,,,,,,,"73 members and 512 services with volumes and access conditions published; levels of assurance not on record",0,
dpi.exchange--use-of-digital-id-in-other-systems,4,BEN-dpi.registry-rnpp,,,,,,,"80+ institutions and 25m eKYC verifications in 2025; selective disclosure and mutual recognition not on record",0,
dpi.exchange--interoperability-of-health-systems,,,,,,,,,"unplaced: DHIS2 reporting only; no exchange between health systems or cited absence",0,
dpi.exchange--interoperability-of-education-systems,3,BEN-dpi.mis-educmaster,,,,,,,"examination entries made through the EMIS; no other link on record",0,
dpi.exchange--interoperability-of-social-protection-systems,3,BEN-dpi.pay-gbessoke-safety-net|BEN-dpi.registry-registre-social-unique,,,,,,,"transfers paid onto SIM cards and programmes drawing on the social registry; no ID link on record",0,
dpi.id--robustness-of-system,3,BEN-dpi.id-ecowas-card|BEN-dpi.id-anip-governance,,,,,,,"biometric card in issue under one agency; no assurance level or audit published",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,3,BEN-dpi.id-anip-governance,,,,,,,"national agency runs the registers; exit terms and funding model not on record",0,
dpi.id--authentication,3,BEN-dpi.exchange-trust-services,,,,,,,"national root CA and trust services operating from July 2026; cross-channel usage not on this row",0,
dpi.id--digital-id-from-birth,2,BEN-dpi.registry-birth,,,,,,,"single-window pilot at 10 maternities; national birth registration about 22% in 2025",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,BEN-dpi.registry-birth,,,,,,,"birth-to-identity single window piloted at 10 maternities; no exchange in service",0,
dpi.id--use-by-other-systems,3,BEN-dpi.id-epass,,,,,,,"passport platform tied to national identity; SIM registration is not a public register",0,
dpi.pay--governance-role-of-central-bank,,,,,,,,,"unplaced: only the regional e-CFA pilot; central bank mandate not shown on the row",0,
dpi.pay--g2p-functionality,3,BEN-dpi.pay-gbessoke-safety-net,,,,,,,"one programme paying monthly onto SIM cards in 12 of 77 communes",0,
dpi.pay--revenue-collection,3,BEN-dpi.pay-tolls,,,,,,,"cashless tolls live; no e-filing or e-payment share for main taxes on record",0,
dpi.pay--b2b-and-b2g-functionality,3,BEN-dpi.pay-pi-spi,,,,,,,"interbank instant rail in service; e-procurement platform not rebuilt",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,BEN-dpi.pay-pi-spi,,,,,,,"banks and mobile money interconnected; merchant and government acceptance and agent networks not on record",0,
dpi.pay--cross-border-functionality,3,BEN-dpi.pay-pi-spi,,,,,,,"regional rail in service across UEMOA; no corridor costs or volumes published",0,
dpi.pay--consumer-protection,,,,,,,,,"unplaced: redress body stood up but no conduct rules or drafting on record",0,
dpi.registry--population-register,3,BEN-dpi.registry-rnpp,,,,,,,"register in service and used by 80+ institutions; updating from vital events not on record",0,
dpi.registry--civil-register,2,BEN-dpi.registry-birth,,,,,,,"digital single window piloted at 10 maternities; about 22% birth registration nationally",0,
dpi.registry--address-register,,,,,,,,,"unplaced: addressing strategy in preparation, not adopted; no project under way",0,
dpi.registry--business-register,2,BEN-dpi.registry-business-registration-platform,,,,,,,"online registration platform in service; no unique business identifier on record",0,
dpi.registry--social-protection-register,3,BEN-dpi.registry-registre-social-unique,,,,,,,"created January 2026 and used by two programmes; no coverage or ID link on record",0,
dpi.registry--electoral-register,3,BEN-dpi.registry-electoral,,,,,,,"drawn from the population register for the 2026 poll; no published audit on record",0,
dpi.registry--tax-register,3,BEN-dpi.registry-ifu,,,,,,,"single fiscal identifier and SIGTAS in force; no TADAT assessment on record",0,
dpi.registry--land-register,3,BEN-dpi.registry-cadastre,,,,,,,"e-Foncier cadastre in service for part of the territory; mandatory registration and tax link not on record",0,
dpi.mis--health,3,BEN-dpi.mis-health-management-information-system,,,,,,,"DHIS2 national reporting with private facilities still being brought in",0,
dpi.mis--education,3,BEN-dpi.mis-educmaster,,,,,,,"system-wide counts published; unique learner identifiers and payroll use not on record",0,
dpi.mis--social-protection,3,BEN-include.access-arch-social-protection-scheme,,,,,,,"ARCH insurance strand enrolling against the ID register in some communes; no cross-programme MIS",0,
dpi.mis--justice,,,,,,,,,"unplaced: digitalisation plan published with no system procured or piloted",0,
dpi.mis--tax,,,,,,,,,"unplaced: modernisation project only; no e-filing or e-payment availability on record",0,
dpi.mis--customs,3,BEN-dpi.govtech-customs|BEN-dpi.govtech-waybill,,,,,,,"44 of 49 offices migrated; no single window on record",0,
dpi.mis--land,3,BEN-dpi.registry-cadastre,,,,,,,"cadastre platform in service for registration in part of the territory",0,
dpi.govtech--e-government-services,3,BEN-dpi.govtech-portal,,,,,,,"more than 230 services dematerialised; ID-based shared authentication and usage not on record",0,
digital.localgov--ict-infrastructure-for-local-government,2,BEN-digital.localgov-e-communes,,,,,,,"e-Communes piloted in three communes of 77",0,
digital.localgov--digitalisation-of-local-government-records,2,BEN-digital.localgov-etat-civil-dematerialisation,,,,,,,"decree framework and single-window pilot in ten health facilities",0,
digital.rural--digitalisation-of-rural-health-clinics,3,BEN-digital.rural-health-data-capture,,,,,,,"aggregate reporting from every health zone; not clinic-level records",0,
digital.rural--digitalisation-of-rural-primary-schools,2,BEN-digital.rural-classes-numeriques,,,,,,,"equipment placed in some rural schools from 2019; no district coverage on record",0,
digital.rural--digitalisation-of-rural-registry-offices,2,BEN-digital.localgov-etat-civil-dematerialisation,,,,,,,"single-window pilot in ten health facilities",0,
digital.rural--digitalisation-of-rural-police-stations,3,BEN-digital.rural-police-sipao,,,,,,,"SIPAO extended to regional cities and AFIS in service; no coverage published",0,
tech.ai--use-of-ai-in-government-administration,,,,,,,,,"unplaced: generative-AI rules only; no AI system in service or piloted in administration on record",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,3,BEN-tech.ai-malaria,,,,,,,"AI and geospatial malaria programme with reported outcomes; one sector only",0,
tech.ai--development-of-national-regional-ai-systems,2,BEN-tech.ai-fon-voice,,,,,,,"Fon voice model in development; not deployed",0,
tech.ai--control-of-ai-abuse,2,BEN-gov.protect-ai-policy|BEN-tech.ai-francophone-framework,,,,,,,"DPA AI policy and regional guidelines; legal effect and enforcement not on record",0,
tech.innovate--technology-hubs,3,BEN-capacity.training-seme-city,,,,,,,"Sèmè City hub network with programmes; outputs not reported",0,
tech.innovate--tech-startup-ecosystem,3,BEN-tech.innovate-label-startup,,,,,,,"start-up label decree in force; fund or tax measures not on record",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,3,BEN-capacity.research-uac-ai-strategy,,,,,,,"university AI strategy and national-language AI project; no policy role on record",0,
include.access--citizen-feedback-portals,2,BEN-include.access-feedback-portals,,,,,,,"channels live but no cases or volumes on record",0,
include.access--citizen-participation-in-policy,,,,,,,,,"unplaced: no consultation on a digital instrument on these rows; OBS participation score is a reference",0,
include.access--inclusion-of-persons-with-disabilities,,,,,,,,,"unplaced: targeting platform planned; no accessibility law or policy on record",0,
data.statistics--national-strategy-for-development-of-statistics,2,BEN-data.statistics-snds,,,,,,,"no current strategy held; successor expected to support the 2026-2035 plan",0,
data.statistics--censuses-and-surveys,3,BEN-data.statistics-household-surveys,,,,,,,"living-conditions and time-use surveys published; census results date from 2015",0,
data.statistics--statistics-from-administrative-data,,,,,,,,,"unplaced: only an external study on the NSO's custodian role",0,
data.open--use-of-open-data,2,BEN-data.statistics-uxp-dashboard,,,,,,,"exchange usage published online; no open licence on record",0,
data.satellite--agricultural-use-of-satellite-data,2,BEN-data.satellite-obsydya,,,,,,,"pilot observatory over northern and central Benin",0,
data.satellite--meteorological-use-of-satellite-data,,,,,,,,,"unplaced: satellite precipitation use is external research only",0,
