indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.regional--cross-border-data-transfers,3,SWZ-gov.regional-sadc,,,,,,,"Transfer provisions in force in the Act; no authority-issued mechanism on record",0,
gov.standards--national-interoperability-standards,,,,,,,,,"Only a sectoral health interoperability standard on record; no national standards catalogue",0,
gov.standards--national-quality-standards,2,SWZ-gov.standards-standards-and-quality-act|SWZ-gov.standards-national-standards-designations,,,,,,,"Standards authority designating non-ICT standards; domesticated ISO 9001 held under another indicator",0,
gov.standards--adoption-of-international-standards,2,SWZ-gov.standards-national-addressing-standards|SWZ-gov.standards-revenue-service-iso-9001-certification,,,,,,,"ISO 19160 and ISO 9001 domesticated; ISO membership status not on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,2,SWZ-gov.discourse-national-data-policy-consultation,,,,,,,"Ad hoc consultation on the data policy; statutory cybersecurity advisory council not constituted",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"Press debate of the Google memorandum on record; nothing on shutdowns or restrictions either way",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,SWZ-finance.budget-none,,,,,,,"ICT head appropriated in the 2026/27 estimates; no dedicated fund cited here",0,
infra.connect--national-fibre-backbone,3,SWZ-infra.connect-fibre,,,,,,,"Backbone in service carrying 72 Gbps international; regional reach and length not on record",0,
infra.connect--international-internet-bandwidth,3,SWZ-infra.connect-backbone-access-ruling|SWZ-infra.connect-cross-border-backbone-route,2,routes,2026,2026-06-01-esccom-notice-5-2026-eptc-jenny-decision,,,"Floor of two routes on separate sources; independence of routes not on record",0,
infra.connect--internet-exchange-points,2,SWZ-infra.connect-internet-exchange-point,,,,,,,"Launched 2014; no member count or traffic on record since",0,
infra.connect--satellite-broadband-licensing-and-availability,3,SWZ-data.satellite-reseller|SWZ-data.satellite-gateway,,,,,,,"Starlink service via one authorised reseller; blanket terminal licensing not on record",0,
infra.store--off-site-backup-capacity,2,SWZ-infra.store-disaster-recovery-site,,,,,,,"Recovery site financed by 2021 loan and tendered; not built",0,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,"End-of-life finance mainframe on record; its E35m replacement is held under another indicator",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,SWZ-capacity.training-changeagents,,,,,,,"Change-agent training for one programme; 18 ICT professionals support the assessed estate",0,
infra.cybersec--national-cybersecurity-readiness,2,SWZ-infra.cybersec-digital-forensic-unit|SWZ-infra.cybersec-month,,,,,,,"Police cyber unit operating; no national cybersecurity strategy or CERT on file",0,
dpi.exchange--national-data-exchange-system,2,SWZ-dpi.exchange-revenue-service-data-matching,,,,,,,"National platform only proposed; revenue-service database integration under way",0,
dpi.exchange--use-of-digital-id-in-other-systems,2,SWZ-dpi.id-ekyc,,,,,,,"Central bank e-KYC registry under construction; ID card not a digital identity",0,
dpi.exchange--interoperability-of-health-systems,2,SWZ-dpi.exchange-health-information-exchange,,,,,,,"Exchanges live between clinical, HMIS and logistics systems; no national HIE policy or architecture on record",0,
dpi.exchange--interoperability-of-education-systems,2,SWZ-dpi.mis-school-education-management-information-system,,,,,,,"EMIS stated to allow linkage; no exchange in service on record",0,
dpi.exchange--interoperability-of-social-protection-systems,2,SWZ-dpi.registry-social-registry-imbeleko,,,,,,,"Social registry piloted in one region; no linkage in service on record",0,
dpi.id--robustness-of-system,3,SWZ-dpi.id-nationalid,,,,,,,"Card issuance in service; no assurance level, audit or certification on record",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"Home Affairs issues the card; platform origin, supplier contracts and funding model not on record",0,
dpi.id--authentication,2,SWZ-dpi.id-ekyc,,,,,,,"e-KYC verification registry under construction; no authentication service in operation",0,
dpi.id--digital-id-from-birth,3,SWZ-dpi.id-unique-identification-number-at-birth|SWZ-dpi.id-birth-registration-in-health-facilities,,,,,,,"Number issued at birth per regional scoping study; population register not shown digitised",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,3,SWZ-dpi.id-unique-identification-number-at-birth,,,,,,,"Birth number links civil registration to the population register; two-way exchange not on record",0,
dpi.id--use-by-other-systems,2,SWZ-dpi.id-ekyc,,,,,,,"Adoption through the central bank e-KYC registry under construction",0,
dpi.pay--governance-role-of-central-bank,3,SWZ-gov.policy-central-bank-annual-integrated-reports|SWZ-dpi.pay-interbank-payment-and-settlement-system,,,,,,,"Central bank oversees settlement and the switch; consumer-protection function not on record",0,
dpi.pay--g2p-functionality,,,,,,,,,"Post-office rows are payments to government; no government-to-person digital payment on record",0,
dpi.pay--revenue-collection,3,SWZ-dpi.mis-customs-management-system,,,,,,,"Customs payments integrated electronically; electronic share of revenue not published",0,
dpi.pay--b2b-and-b2g-functionality,3,SWZ-dpi.pay-interbank-payment-and-settlement-system|SWZ-dpi.pay-switch,,,,,,,"Interbank and instant payments in service; no e-procurement on record",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,SWZ-dpi.pay-switch,,,,,,,"Bank and mobile-money interoperability live; merchant QR in development and agents not reported",0,
dpi.pay--cross-border-functionality,2,SWZ-dpi.pay-tcib,,,,,,,"Migration to the regional TCIB scheme under way; not a PAPSS participant",0,
dpi.pay--consumer-protection,,,,,,,,,"Only a parliamentary committee report on bank charges; no conduct rules on record",0,
dpi.registry--population-register,3,SWZ-dpi.registry-population,,,,,,,"Compulsory register in service since 1984; not shown digitised",0,
dpi.registry--civil-register,,,,,,,,,"CRVS improvement programme running; no digital civil registration system on record",0,
dpi.registry--address-register,2,SWZ-gov.standards-national-addressing-standards,,,,,,,"Addressing standards launched July 2026 with municipal pilots",0,
dpi.registry--business-register,3,SWZ-dpi.govtech-company-registration-online,,,,,,,"Company registration through the government portal; unique identifier and public search not on record",0,
dpi.registry--social-protection-register,2,SWZ-dpi.registry-social-registry-imbeleko,,,,,,,"Piloted in Shiselweni as at July; no household count",0,
dpi.registry--electoral-register,2,SWZ-dpi.registry-voter-register,,,,,,,"Continuous registration adding biometrics; public access to the roll not on record",0,
dpi.registry--tax-register,,,,,,,,,"TIN application is on paper; register structure not on record, and online filing implies a computerised one",0,
dpi.registry--land-register,2,SWZ-dpi.registry-deeds-registry-digitisation,,,,,,,"Deeds system prototype under testing; no go-live",0,
dpi.mis--health,3,SWZ-dpi.mis-client-management-information-system,,,,,,,"Electronic record at 73% of facilities; surveillance and registry integration not on record here",0,
dpi.mis--education,3,SWZ-dpi.mis-school-education-management-information-system,,,,,,,"Individual PIN-keyed records held; use for planning and payroll not on record",0,
dpi.mis--social-protection,2,SWZ-dpi.registry-social-registry-imbeleko,,,,,,,"Registry piloted; no programme MIS in service on record",0,
dpi.mis--justice,2,SWZ-dpi.mis-integrated-electronic-case-management,,,,,,,"Case management rollout under way; courts not yet transitioned",0,
dpi.mis--tax,3,SWZ-dpi.mis-mandatory-online-tax-filing,,,,,,,"Online filing mandatory for income tax only; uptake across core taxes not published",0,
dpi.mis--customs,3,SWZ-dpi.mis-customs-management-system,,,,,,,"ASYCUDAWorld in service with e-payment; single window not in service",0,
dpi.mis--land,2,SWZ-dpi.registry-deeds-registry-digitisation,,,,,,,"Deeds information system at prototype stage",0,
dpi.govtech--e-government-services,3,SWZ-infra.cybersec-govservices|SWZ-dpi.govtech-giyh|SWZ-dpi.govtech-taxpal,,,,,,,"31 of 419 services online; no shared authentication through a national ID",0,
digital.localgov--ict-infrastructure-for-local-government,2,SWZ-digital.localgov-tinkhundla,,,,,,,"38 centres in the financed connectivity target; none reported connected",0,
digital.localgov--digitalisation-of-local-government-records,,,,,,,,,"Ministry report, held truncated, mentions no digital records system; not a stated absence",0,
digital.rural--digitalisation-of-rural-health-clinics,3,SWZ-digital.rural-community-health-information-system|SWZ-dpi.mis-health-information-system-optimisation,,,,,,,"Community health capture digital; facility coverage share not published here",0,
digital.rural--digitalisation-of-rural-primary-schools,3,SWZ-digital.rural-school-connectivity-programme|SWZ-capacity.training-school-ict-equipment,,,,,,,"402 of 965 mapped schools connected; most primary schools still unconnected",0,
digital.rural--digitalisation-of-rural-registry-offices,,,,,,,,,"Only planned USSD access here; point-of-birth registration held under the ID indicators",0,
digital.rural--digitalisation-of-rural-police-stations,2,SWZ-dpi.mis-integrated-electronic-case-management|SWZ-dpi.mis-justice-system-equipment-support,,,,,,,"Justice case system for police use under rollout; no station named",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,,,,,,,,,"Sector platforms in service not shown to use AI",0,
tech.ai--development-of-national-regional-ai-systems,,,,,,,,,"Only an AI indaba and a continental memorandum with no national commitment",0,
tech.ai--control-of-ai-abuse,2,SWZ-tech.ai-deepfake,,,,,,,"Regulator's deepfake guidance has no legal force",0,
tech.innovate--technology-hubs,3,SWZ-tech.innovate-science-park-business-incubator,,,,,,,"Science park incubator running a programme; cohort and output figures not held",0,
tech.innovate--tech-startup-ecosystem,,,,,,,,,"Only a FinTech strategy and a digital bank licence; no startup instrument on record",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,3,SWZ-capacity.research-none,,,,,,,"University computing department with research groups and grant activity; no policy role on record",0,
include.access--citizen-feedback-portals,2,SWZ-include.access-public-entity-feedback-platform|SWZ-include.access-project-grievance-mechanism,,,,,,,"One entity's feedback platform; no cases or handling on record",0,
include.access--citizen-participation-in-policy,2,SWZ-gov.discourse-national-data-policy-consultation|SWZ-include.access-budget-consultations,,,,,,,"One digital instrument consulted in the year; no stated procedure",0,
include.access--inclusion-of-persons-with-disabilities,3,SWZ-include.access-persons-with-disabilities-act,,,,,,,"Act gives a right of ICT access; no digital accessibility standard on record",0,
include.access--inclusion-of-refugees-and-idps,3,SWZ-include.access-refugee-documentation,,,,,,,"Refugees documented and in civil registration; digital service access not provided for on record",0,
data.statistics--national-strategy-for-development-of-statistics,2,SWZ-data.statistics-national-strategy-for-development-of-statistics,,,,,,,"Recorded as Designing by the international partnership, January 2026",0,
data.statistics--censuses-and-surveys,3,SWZ-data.statistics-finscope,,,,,,,"Irregular survey rounds (2018, 2026); current-round census not enumerated",0,
data.statistics--statistics-from-administrative-data,3,SWZ-dpi.registry-crvs-completeness,,,,,,,"Vital statistics report compiled from civil registration",0,
data.open--use-of-open-data,1,SWZ-data.open-none,,,,,,,"Readiness assessment records no centralised open-data portal",0,
data.satellite--agricultural-use-of-satellite-data,3,SWZ-data.satellite-composite-drought-index,,,,,,,"National satellite drought index in the crop assessment; no published schedule",0,
data.satellite--meteorological-use-of-satellite-data,,,,,,,,,"Weather stations and forecasting upgrades on record; no satellite data stream stated",0,
