indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
infra.store--off-site-backup-capacity,,,,,,,,,"2017 standard requires off-site backup; no government recovery site or contract in service on record",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,TZA-infra.capacity-cyber-skills-partnership-with|TZA-infra.capacity-practical-backbone-training-with,,,,,,,"training partnerships announced; no in-house maintenance of systems on these rows",0,
infra.cybersec--national-cybersecurity-readiness,,,,,,,,,"rows are an index, a forum and a memorandum; the cybercrimes act sits on the legislation rows",0,
dpi.exchange--national-data-exchange-system,3,TZA-dpi.exchange-government-enterprise-service-bus,,,,,,,"service bus in use; no member, service or transaction counts published",0,
dpi.exchange--use-of-digital-id-in-other-systems,4,TZA-dpi.id-database-integrations-electronic-identity,,,,,,,"147 institutions across banking insurance and social security; no query volumes published",0,
dpi.exchange--interoperability-of-health-systems,2,TZA-dpi.exchange-health-information-exchange,,,,,,,"45 systems linked on the minister's account; no adopted HIE policy or architecture on record",0,
dpi.exchange--interoperability-of-education-systems,2,TZA-dpi.mis-education-esmis,,,,,,,"integration directed; no exchange in service on record",0,
dpi.exchange--interoperability-of-social-protection-systems,2,TZA-dpi.exchange-social-safety-net-registry,,,,,,,"financing approved for registry links; no exchange figure on record",0,
dpi.id--robustness-of-system,3,TZA-dpi.id-centralised-identity-card-printing|TZA-dpi.id-toll-free-identity-status,,,,,,,"system issuing cards; no assurance level audit or certification published",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"rows give coverage counts only; nothing on who builds operates or maintains the platform",0,
dpi.id--authentication,3,TZA-dpi.id-authentication-regulations|TZA-dpi.id-database-integrations-electronic-identity,,,,,,,"register verification in service to linked institutions; no PKI or mobile authentication on record",0,
dpi.id--digital-id-from-birth,2,TZA-dpi.id-registration-from-birth,,,,,,,"registration from birth piloted; enabling bill not tabled",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,TZA-dpi.id-birth-registration-interoperability-act|TZA-dpi.id-registration-from-birth,,,,,,,"sharing provided in law and linkage piloted; no exchange in service on record",0,
dpi.id--use-by-other-systems,,,,,,,,,"only row is civil registration throughput; no register keyed on the national ID shown",0,
dpi.pay--governance-role-of-central-bank,3,TZA-dpi.pay-fintech-regulatory-sandbox|TZA-dpi.pay-tanqr,,,,,,,"central bank authorises and runs the QR standard; consumer function not on these rows",0,
dpi.pay--revenue-collection,,,,,,,,,"electronic payment mandated for nine transaction classes; no tax or fee e-payment named on the row",0,
dpi.pay--b2b-and-b2g-functionality,3,TZA-dpi.pay-participating-financial-service-providers|TZA-dpi.pay-merchants-accepting-digital-payments,,,,,,,"interbank participation and merchant acceptance on record; no e-procurement on these rows",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,TZA-dpi.pay-instant-payment-system-throughput|TZA-dpi.pay-mobile-money-core-platform,,,,,,,"instant payment switch and merchant payments in service; government payments and agents not on these rows",0,
dpi.pay--cross-border-functionality,2,TZA-dpi.pay-cross-border-instant-payment,,,,,,,"Rwanda corridor at proof-of-concept stage",0,
dpi.pay--consumer-protection,3,TZA-gov.legislate-financial-consumer-protection-amendment|TZA-dpi.pay-retail-payment-fee-caps,,,,,,,"rules on privacy, complaints and charges in force; no redress statistics on record",0,
dpi.registry--population-register,,,,,,,,,"rows cover birth registration only; no population register shown",0,
dpi.registry--civil-register,3,TZA-dpi.registry-electronic-birth-certificate-issuance,,,,,,,"digital birth issuance in service; no published coverage of all vital events",0,
dpi.registry--address-register,3,TZA-dpi.registry-addressing-postcode-system|TZA-dpi.registry-zanzibar-address,,,,,,,"12.9m addresses and 29 systems interconnected; rural coverage not stated",0,
dpi.registry--social-protection-register,,,,,,,,,"Zanzibar registry blueprint only; no registry procured or piloted on this row",0,
dpi.registry--electoral-register,,,,,,,,,"permanent register revised; not shown to be digital and no public access to the roll on record",0,
dpi.registry--tax-register,2,TZA-dpi.registry-tax-register,,,,,,,"integrated system live; register integrity and identifier linkage not assessed",0,
dpi.registry--land-register,3,TZA-dpi.registry-land-register,,,,,,,"digital registration services in use; no parcel count published",0,
dpi.mis--health,3,TZA-dpi.mis-health-management-information-system,,,,,,,"national HMIS on study evidence; completeness and integration not published",0,
dpi.mis--education,2,TZA-dpi.mis-education-esmis|TZA-dpi.mis-school-information-system,,,,,,,"sector MIS in development; no annual census output from it on record",0,
dpi.mis--social-protection,3,TZA-dpi.mis-social-protection-mis,,,,,,,"MIS paying households electronically on the fund's own account; not shown linked to the ID",0,
dpi.mis--justice,2,TZA-dpi.mis-judicial-case-management,,,,,,,"case management built under financing; what is in service is not on record",0,
dpi.mis--tax,,,,,,,,,"rows are display and invoicing mandates; no e-filing or tax e-payment facility shown",0,
dpi.mis--customs,3,TZA-dpi.mis-customs-tancis,,,,,,,"Zanzibar single window launched; audit finds 33 of 92 trade services digitised",0,
dpi.mis--land,2,TZA-dpi.mis-e-ardhi-land-records,,,,,,,"records digitisation under way, behind its own annual target",0,
dpi.govtech--e-government-services,,,,,,,,,"external maturity classification only; no service inventory or portal on these rows",0,
digital.localgov--digitalisation-of-local-government-records,3,TZA-digital.localgov-local-government-administrative-financial,,,,,,,"audit records systems in use beside paper processes; share of records digitised not stated",0,
digital.rural--digitalisation-of-rural-health-clinics,2,TZA-digital.rural-ehealth-systems,,,,,,,"immunisation module piloted at six facilities; no rural reporting coverage on record",0,
digital.rural--digitalisation-of-rural-primary-schools,2,TZA-digital.rural-primary-school-tablets,,,,,,,"pilots in Manyara, Dodoma and Kigoma; no national connectivity share",0,
digital.rural--digitalisation-of-rural-registry-offices,3,TZA-digital.rural-erita-registration,,,,,,,"all Zanzibar districts on a web platform; no share of offices published",0,
digital.rural--digitalisation-of-rural-police-stations,2,TZA-digital.rural-crime-statistics-system,,,,,,,"crime statistics system piloting; no station coverage since 2020",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,,,,,,,,,"policy and a signed programme only; the one AI deployment sits on the health MIS row",0,
tech.ai--development-of-national-regional-ai-systems,2,TZA-tech.ai-kiswahili-large-language-model,,,,,,,"Kiswahili model named in the vision; no developer, budget or build",0,
tech.ai--control-of-ai-abuse,3,TZA-tech.ai-online-content-ai-rules,,,,,,,"AI-generated content prohibited by regulation; no enforcement on record",0,
tech.innovate--technology-hubs,2,TZA-tech.innovate-itu-acceleration-centre,,,,,,,"acceleration centre approved, not launched",0,
tech.innovate--tech-startup-ecosystem,2,TZA-tech.innovate-startup-ecosystem-report,,,,,,,"ventures programme launched; no startup policy or act",0,
include.access--citizen-feedback-portals,3,TZA-include.access-e-mrejesho,,,,,,,"national channel routing to leaders; no complaint volumes or resolutions published",0,
include.access--citizen-participation-in-policy,,,,,,,,,"statutory local participation machinery only; no consultation on a digital instrument on these rows",0,
include.access--inclusion-of-refugees-and-idps,,,,,,,,,"disaster strategy names refugees; no registration or documentation on record",0,
data.statistics--national-strategy-for-development-of-statistics,4,TZA-data.statistics-tsmp-ii,,,,,,,"steering committee reports 88.9% implemented and approved the work plan and budget; SHaSA alignment not stated",0,
data.statistics--censuses-and-surveys,3,TZA-data.statistics-integrated-labour-force-survey|TZA-data.statistics-agricultural-sample-survey,,,,,,,"survey rounds on record; no definitive census results on these rows",0,
data.statistics--statistics-from-administrative-data,3,TZA-data.statistics-business-register,,,,,,,"business register built from tax records; one product on record",0,
data.satellite--meteorological-use-of-satellite-data,,,,,,,,,"only row is an educational cubesat budget line; nothing on the meteorological service",0,
