indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.legislate--statistics-legislation,3,ZMB-gov.legislate-statistics-act,,,,,,,"Statistics Act 2018 operating; independence and confidentiality provisions not shown in the rows",0,
gov.legislate--access-to-information-legislation,3,ZMB-gov.legislate-ati,,,,,,,"Act and 2025 regulations in force; no requests or oversight decisions on record",0,
gov.protect--data-protection-authority,2,ZMB-gov.protect-data-protection-commissioner,,,,,,,"Commissioner's office exists; no registration or guidance or report on record",0,
gov.protect--national-data-protection-readiness,3,ZMB-gov.protect-dp-readiness,,,,,,,"Law in force; Commissioner names registration and weak systems as open gaps",0,
gov.regional--regional-policy-collaboration,3,ZMB-gov.regional-lusaka-declaration|ZMB-gov.regional-atu-secretary-general,,,,,,,"Hosted the 2025 parliamentary digital summit and won the ATU secretary-generalship; no regional instrument implemented domestically",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Malabo ratified 2020 but no domesticating measure attributed to it on record",0,
gov.regional--shared-regional-infrastructure,2,ZMB-dpi.exchange-comesa-idea-coordination,,,,,,,"Participant in the COMESA IDEA programme; in-service cross-border links sit under the bandwidth row",0,
gov.regional--cross-border-data-transfers,3,ZMB-gov.regional-cross-border-transfers,,,,,,,"Sections 70-71 in force; no adequacy decision or authorisation on record",0,
gov.standards--national-interoperability-standards,3,ZMB-gov.standards-interoperability-standard,,,,,,,"Mandatory standards with an audit schedule; no conformance result on record",0,
gov.standards--national-quality-standards,,,,,,,,,"Only a 2014 health ministry ICT standard and a planned QoS regime; standards-body adoption sits under the international-standards row",0,
gov.standards--adoption-of-international-standards,2,ZMB-gov.standards-international,,,,,,,"Over 50 international standards adopted including ICT; ISO membership class not on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"Consultations on record concern the constitution and an NGO bill; none on a digital instrument",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,2,ZMB-finance.budget-digital-infrastructure-allocation,,,,,,,"K255m approved for 2026 digital infrastructure; appropriation status and recurrence not stated",0,
infra.connect--national-fibre-backbone,3,ZMB-infra.connect-national-fibre-length,,,,,,,"Minister reports 45000 km and 94% coverage; every-province reach and open-access terms not on record",0,
infra.connect--international-internet-bandwidth,4,ZMB-infra.connect-chanida-cassacatiza-interconnector,8,routes,2026,2026-02-23 Zambia and Mozambique launch fibre-optic interconnector at Chanida–Cassacatiza border,,,"Minister states fibre links to eight neighbours; bandwidth per user not held",0,
infra.connect--internet-exchange-points,3,ZMB-infra.capacity-internet-exchange-point,,,,,,,"Lusaka exchange with 12 peers on 76G; no traffic series or second exchange",0,
infra.connect--satellite-broadband-licensing-and-availability,3,ZMB-infra.connect-starlink-zambia,,,,,,,"Starlink in service since 2023; licence terms not held; blanket licensing not on record",0,
infra.store--off-site-backup-capacity,2,ZMB-infra.store-backup,,,,,,,"Backup solution procured for one office; national data centre backup facilities sit under the capacity rows",0,
infra.capacity--robustness-of-government-hardware-and-software,2,ZMB-infra.connect-government-wide-area-network,,,,,,,"Government network in service to 116 councils; finance revenue and payroll platforms not on record here",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,3,ZMB-dpi.govtech-property-management-information-system,,,,,,,"Property system built by a local firm with the state ICT institute; no systematic programme on record",0,
infra.cybersec--national-cybersecurity-readiness,2,ZMB-infra.cybersec-cyber-security-agency,,,,,,,"Act in force and agency issuing advisories; no national cybersecurity strategy or incident-response record",0,
dpi.exchange--national-data-exchange-system,3,ZMB-dpi.exchange-government-service-bus|ZMB-dpi.exchange-zamconnect-in-operation,,,,,,,"Service bus carries 400+ services; no published access conditions or register reuse on record",0,
dpi.exchange--use-of-digital-id-in-other-systems,3,ZMB-dpi.exchange-id-in-other-systems,,,,,,,"e-KYC in the input voucher across 116 districts; no cross-sector verification service on record",0,
dpi.exchange--interoperability-of-health-systems,2,ZMB-dpi.exchange-health,,,,,,,"FHIR implementation guide published; exchanges in service not on record",0,
dpi.exchange--interoperability-of-education-systems,2,ZMB-dpi.exchange-education,,,,,,,"Central student database directed and working group launched; no exchange in service",0,
dpi.exchange--interoperability-of-social-protection-systems,2,ZMB-dpi.exchange-social-protection,,,,,,,"Draft convergence roadmap and technical committee; no link in service",0,
dpi.id--robustness-of-system,2,ZMB-dpi.id-mosip-digital-id,,,,,,,"INRIS enrolling but credential issuance and deduplication not on record; MOSIP integrator under procurement",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"Only financing approved here; the Zambian-built application layer is stated in the MOSIP row under robustness",0,
dpi.id--authentication,3,ZMB-dpi.id-authentication,,,,,,,"Operational single sign-on and MFA for e-government; usage across consumers not on record",0,
dpi.id--digital-id-from-birth,,,,,,,,,"Birth registration covers 22% of under-fives; no identifier assigned at birth stated",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,ZMB-dpi.id-crvs-link,,,,,,,"Integrator invited to integrate ID and civil registration modules; no exchange in service",0,
dpi.id--use-by-other-systems,3,ZMB-dpi.id-use-by-other-systems,,,,,,,"Passport applications and the input voucher tied to national identity; main registers not shown keyed on it",0,
dpi.pay--governance-role-of-central-bank,3,ZMB-dpi.pay-national-financial-switch,,,,,,,"National switch operating; published oversight and dispute function not on record here",0,
dpi.pay--revenue-collection,3,ZMB-dpi.pay-zampay-payment-gateway|ZMB-dpi.pay-digital-revenue-collected,,,,,,,"Fees paid electronically through the gateway; electronic share of revenue not published",0,
dpi.pay--b2b-and-b2g-functionality,,,,,,,,,"Only the 2026 payment system Act; not commenced; no e-procurement or business payment service on record",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,ZMB-dpi.pay-p2p-p2g-p2b,,,,,,,"Wallet-bank interoperability and council fee payment in service; agent networks not reported",0,
dpi.pay--cross-border-functionality,2,ZMB-dpi.pay-comesa-retail-payments,,,,,,,"Regional retail platform on a Malawi corridor; no Zambian volumes or domestic framework on record",0,
dpi.pay--consumer-protection,2,ZMB-dpi.pay-consumer-protection,,,,,,,"2018 central bank directive on charges; the 2026 Act's regime not shown commenced",0,
dpi.registry--population-register,3,ZMB-dpi.registry-population,,,,,,,"INRIS in 26 district offices; no national total or use by other registers on record",0,
dpi.registry--civil-register,2,ZMB-dpi.registry-birth-registration-rate,,,,,,,"500000 events on the national system; national rollout of digital registration not established",0,
dpi.registry--address-register,2,ZMB-dpi.registry-address,,,,,,,"Spatial data policy and geoportal launched; no address register in service",0,
dpi.registry--business-register,2,ZMB-dpi.registry-beneficial-ownership,,,,,,,"Registration counts published; online registration not stated; in-house system rebuild launched",0,
dpi.registry--social-protection-register,,,,,,,,,"Only a cash-transfer household count; the dynamic social registry is under design per the MIS row",0,
dpi.registry--electoral-register,3,ZMB-dpi.registry-electoral,,,,,,,"Register certified and published by polling station; continuous maintenance not on record",0,
dpi.registry--tax-register,2,ZMB-dpi.registry-tax,,,,,,,"TPIN register counts from the revenue authority; no TADAT assessment on record",0,
dpi.registry--land-register,3,ZMB-dpi.registry-zilas|ZMB-dpi.registry-land-titles-in-zilas,,,,,,,"ZILAS live since 2023; under 450000 of 1.2 million properties titled",0,
dpi.mis--health,3,ZMB-dpi.mis-smartcare-pro,,,,,,,"EHR in about 80% of facilities on implementer figures; integration and completeness not published",0,
dpi.mis--education,2,ZMB-dpi.mis-education-management-information-system,,,,,,,"EMIS built in one district; national extension not stated",0,
dpi.mis--social-protection,3,ZMB-dpi.mis-social-protection,,,,,,,"Existing MIS referenced; social registry link still under design",0,
dpi.mis--justice,,,,,,,,,"Only a contract-tracking system for the Attorney General; no court case management on record",0,
dpi.mis--tax,2,ZMB-dpi.mis-tax,,,,,,,"Only VAT e-invoicing on record; e-filing and payment coverage not shown",0,
dpi.mis--land,3,ZMB-dpi.mis-land,,,,,,,"Land system services on the service bus; disrupted 2025 with no coverage figure",0,
dpi.govtech--e-government-services,3,ZMB-dpi.govtech-zamportal|ZMB-dpi.govtech-national-authentication-service,,,,,,,"Integrated portal with 400+ services and national authentication; no service inventory or ID-based authentication on record",0,
digital.localgov--ict-infrastructure-for-local-government,3,ZMB-digital.localgov-ict,,,,,,,"Devices for all 116 authorities handed over; eight onboarded to the service bus",0,
digital.localgov--digitalisation-of-local-government-records,3,ZMB-digital.localgov-e-council-platform,,,,,,,"e-Council live at eight of 116 councils",0,
digital.rural--digitalisation-of-rural-health-clinics,2,ZMB-digital.rural-starlink-public-facilities,,,,,,,"Satellite kits at a rural clinic; no national count of connected facilities",0,
digital.rural--digitalisation-of-rural-primary-schools,2,ZMB-digital.rural-primary-schools,,,,,,,"Target of 2500 more schools announced; no delivered count in the window",0,
digital.rural--digitalisation-of-rural-registry-offices,,,,,,,,,"Only a 2026 budget line; INRIS deployment to district offices sits under the population register row",0,
digital.rural--digitalisation-of-rural-police-stations,2,ZMB-digital.rural-police-station-connectivity,,,,,,,"Equipment delivered for 40 stations; not yet installed",0,
tech.ai--use-of-ai-in-government-administration,2,ZMB-tech.ai-parliament-ai-automation,,,,,,,"National Assembly automation in development; no system in service",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,2,ZMB-tech.ai-sectoral-mis,,,,,,,"Education adaptive-learning pilot agreed; health records framed as AI-ready only",0,
tech.ai--development-of-national-regional-ai-systems,2,ZMB-tech.ai-itu-ai-for-good-lab,,,,,,,"ITU AI lab disclosed as an opportunity; no national model or compute in service",0,
tech.ai--control-of-ai-abuse,2,ZMB-tech.ai-cyber-agency-ai-remit,,,,,,,"Cyber agency cited against AI-enabled scams by an official; no rule or designated mandate on record",0,
tech.innovate--technology-hubs,2,ZMB-tech.innovate-emark-innovation-hub,,,,,,,"One private hub mentoring a robotics team; no incubation cohorts on record",0,
tech.innovate--tech-startup-ecosystem,,,,,,,,,"Startup Bill named once with no text or drafting stage; no grant scheme on record",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,2,ZMB-capacity.research-national-ict-research-institute|ZMB-capacity.research-zra-ictd-mou,,,,,,,"Computing department teaching and a tax research MoU; no digital-policy publishing programme on record",0,
include.access--citizen-feedback-portals,2,ZMB-include.access-feedback,,,,,,,"Citizen support portal linked to health charters; no cases or receipts on record",0,
include.access--citizen-participation-in-policy,2,ZMB-include.access-participation,,,,,,,"Constitutional consultation with 11860+ submissions; no digital-instrument consultation procedure on record",0,
include.access--inclusion-of-persons-with-disabilities,2,ZMB-include.access-disability,,,,,,,"2025 disability policy held; no ICT accessibility requirement shown",0,
include.access--inclusion-of-refugees-and-idps,2,ZMB-finance.new-refugee-host-communities-project|ZMB-gov.protect-progres-database-transfer,,,,,,,"Biometric refugee cards planned under a 2024 project; no enrolment count on record",0,
data.statistics--national-strategy-for-development-of-statistics,3,ZMB-data.statistics-nsds,,,,,,,"Second NSDS 2023-2027 adopted; no costed plan or evaluation on record",0,
data.statistics--censuses-and-surveys,3,ZMB-data.statistics-zamstats-release-programme,,,,,,,"2022 census analytical report published 2025; microdata access and survey programme not on record here",0,
data.statistics--statistics-from-administrative-data,3,ZMB-data.statistics-administrative,,,,,,,"Nutrition data platform in government and death-reporting series; no systematic framework",0,
data.open--use-of-open-data,2,ZMB-dpi.registry-nsdi-policy-portal,,,,,,,"Geoportal launched; no licence terms or usage on record",0,
data.satellite--agricultural-use-of-satellite-data,2,ZMB-data.satellite-giraffe-ai-traceability,,,,,,,"One private traceability platform on founder account; no national service",0,
data.satellite--meteorological-use-of-satellite-data,2,ZMB-data.satellite-meteorology,,,,,,,"Satellite rainfall products evaluated in a study; operational forecasting use not on record",0,
