indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
digital.rural--digitalisation-of-rural-police-stations,,,,,,,,,"Only radar training held; nothing on police station systems",0,
tech.ai--use-of-ai-in-government-administration,,,,,,,,,"Only regulation conferences and a strategy in drafting; no AI system in administration",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,,,,,,,,,"No sectoral AI tool on record",0,
tech.ai--development-of-national-regional-ai-systems,2,COG-tech.ai-african-artificial-intelligence-research|COG-geopol.china-joint-artificial-intelligence-laboratory,,,,,,,"Research centre and AI lab named; no model or dataset or compute in service on record",0,
tech.ai--control-of-ai-abuse,2,COG-tech.ai-digital-ai-regulation-conferences,,,,,,,"Conferences produced recommendations only; no rule with legal effect",0,
tech.innovate--technology-hubs,,,,,,,,,"Only a startup labelling regime held; no hub or park on record",0,
tech.innovate--tech-startup-ecosystem,3,COG-tech.innovate-startup-labelling-regime,,,,,,,"Labelling regime decrees adopted 2025; no label awarded or commission sitting on record",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,,,,,,,,,"Only a government AI committee held; no academic or think-tank activity on record",0,
include.access--inclusion-of-persons-with-disabilities,2,COG-include.access-disability-rights,,,,,,,"Loi 18-2025 in force; ICT or accessible-format provisions not shown",0,
include.access--inclusion-of-refugees-and-idps,3,COG-include.access-refugee-documentation,,,,,,,"Asylum law 2021 and biometric passports issued to refugees; digital access not provided for",0,
data.statistics--national-strategy-for-development-of-statistics,3,COG-data.statistics-loi-36-2018,,,,,,,"SNDS 2022-2026 published; no funding or evaluation on record",0,
data.statistics--censuses-and-surveys,2,COG-data.statistics-quarterly-labour-market-informal,,,,,,,"Quarterly labour survey in preparation; no census in the rows",0,
data.statistics--statistics-from-administrative-data,,,,,,,,,"Balance-of-payments collection and an insurance data platform; no admin-register statistical product",0,
data.open--use-of-open-data,2,COG-data.open-open-data-portal-or,,,,,,,"Portal loading data for download; no open licence stated",0,
data.satellite--agricultural-use-of-satellite-data,2,COG-data.satellite-agricultural-monitoring,,,,,,,"One-off land-cover map and an external monitoring brief; no national service",0,
data.satellite--meteorological-use-of-satellite-data,,,,,,,,,"Aerodrome service by a regional agency; no national satellite use on record",0,
